,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,상대팀,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점
601,601,301,한국도로공사,0,100,73,162,58,9,13,0.36,87,31,3,7,0.36,7,3,1,0,0.43,3,1,0,1,0.33,20,6,2,4,0.3,6,2,0,1,0.33,39,15,3,0,0.38,107,2,13,0.02,104,90,14,0,18.0,169,55,0,11.05,88,40,3,142.82,84,13,24,36,0,2.9000000000000004,13,0,26,1,IBK기업은행,2,0.87,0.33,0.45,0.15,107,108
602,602,302,KGC인삼공사,0,127,62,131,51,8,6,0.39,61,17,6,4,0.28,0,0,0,0,,2,1,0,0,0.5,26,13,0,1,0.5,7,4,0,0,0.57,35,16,2,1,0.46,82,4,13,0.05,85,61,24,0,15.58,136,50,3,14.83,84,33,5,290.28999999999996,47,7,14,16,2,1.75,6,0,24,0,흥국생명,4,0.72,0.37,0.39,0.15,81,93
603,603,302,흥국생명,1,128,69,118,56,7,8,0.47,74,33,3,7,0.45,9,7,1,0,0.78,2,1,0,0,0.5,10,2,2,1,0.2,3,2,1,0,0.67,20,11,0,0,0.55,92,5,8,0.05,95,74,20,1,18.67,123,51,1,12.75,69,18,4,57.519999999999996,59,8,24,18,1,2.0,6,0,19,1,KGC인삼공사,1,0.78,0.41,0.26,0.14,93,81
604,604,303,한국도로공사,1,131,79,140,62,7,6,0.44,73,25,3,4,0.34,5,2,1,0,0.4,3,2,0,0,0.67,24,14,1,2,0.58,4,1,0,0,0.25,31,18,2,0,0.58,95,7,13,0.07,90,80,10,0,22.25,144,60,0,15.0,69,39,1,151.01,79,10,35,21,2,2.5,8,0,21,1,현대건설,2,0.89,0.42,0.57,0.13,96,78
605,605,303,현대건설,0,136,57,145,49,10,7,0.34,70,23,3,2,0.33,9,3,1,2,0.33,1,1,0,0,1.0,15,5,2,2,0.33,14,3,0,0,0.21,36,14,4,1,0.39,79,1,10,0.01,98,78,20,0,22.16,145,47,0,18.25,82,37,7,143.7,58,7,22,22,0,1.75,5,0,17,0,한국도로공사,5,0.8,0.32,0.45,0.12,78,96
606,606,304,GS칼텍스,1,123,78,168,65,8,8,0.39,103,36,5,6,0.35,6,2,0,0,0.33,1,1,0,0,1.0,22,9,1,1,0.41,5,3,0,0,0.6,31,14,2,1,0.45,104,5,12,0.05,122,102,19,1,21.07,172,61,1,12.7,88,32,2,107.59,68,8,29,21,0,1.9,7,0,22,0,흥국생명,0,0.84,0.35,0.36,0.12,105,97
607,607,304,흥국생명,0,163,75,178,65,8,16,0.37,115,39,7,12,0.34,11,5,0,0,0.45,0,0,0,0,,28,12,0,2,0.43,4,2,0,0,0.5,20,7,1,2,0.35,98,2,10,0.02,125,105,20,0,21.4,180,58,1,12.4,92,27,5,143.16,70,8,31,21,0,1.6,6,0,27,1,GS칼텍스,1,0.84,0.32,0.29,0.11,97,105
608,608,305,IBK기업은행,0,109,51,122,44,8,8,0.36,80,27,5,5,0.34,3,2,0,0,0.67,6,4,1,0,0.67,8,4,0,2,0.5,6,1,0,1,0.17,19,6,2,0,0.32,66,2,6,0.03,85,65,20,0,25.67,122,41,0,19.0,70,17,4,75.23,52,5,18,19,0,1.6700000000000002,5,0,14,0,KGC인삼공사,3,0.76,0.34,0.24,0.1,65,77
609,609,305,KGC인삼공사,1,100,63,120,51,5,6,0.42,72,25,4,3,0.35,7,4,0,0,0.57,5,4,0,0,0.8,13,7,1,1,0.54,8,4,0,1,0.5,15,7,0,1,0.47,76,4,6,0.05,84,69,15,0,23.66,120,48,1,15.99,60,22,2,183.32999999999998,50,8,16,16,1,2.66,6,0,14,1,IBK기업은행,4,0.82,0.4,0.37,0.16,77,65
610,610,306,한국도로공사,1,100,77,162,61,8,9,0.38,91,35,4,7,0.38,4,1,0,0,0.25,6,2,0,0,0.33,21,4,1,1,0.19,11,5,1,0,0.45,29,14,2,1,0.48,105,9,6,0.09,109,88,21,0,17.97,164,55,1,11.8,85,39,4,141.43,78,7,35,19,1,1.45,7,0,17,1,현대건설,2,0.81,0.34,0.46,0.09,105,96
