,index,경기번호,팀명,결과,No.,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,홈_어웨이,상대팀,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점
0,0,1,IBK기업은행,0,89,69,179,51,15,10,0.28,88,17,9,6,0.19,17,9,2,2,0.53,7,2,1,0,0.29,21,1,2,0,0.05,7,1,0,1,0.14,39,21,1,1,0.54,95,7,10,0.07,119,102,17,0,20.9,188,51,3,11.25,99,40,5,7.0,94,11,37,30,2,2.25,8,0,25,1,흥국생명,3,0.86,0.27,0.4,0.12,96,108
1,1,1,흥국생명,1,127,83,193,63,11,15,0.33,106,27,7,7,0.25,9,6,0,0,0.67,9,2,1,1,0.22,49,21,2,6,0.43,10,3,1,0,0.3,10,4,0,1,0.4,109,5,10,0.05,145,125,20,0,28.09,195,61,2,12.33,85,43,7,8.55,72,15,38,12,0,3.3,10,0,27,0,IBK기업은행,1,0.86,0.31,0.51,0.21,108,96
2,2,2,KGC인삼공사,0,94,79,205,67,20,7,0.33,119,37,14,2,0.31,4,1,0,0,0.25,4,1,0,0,0.25,40,16,2,4,0.4,6,1,0,0,0.17,32,11,4,1,0.34,108,5,4,0.05,146,118,28,0,24.25,209,63,1,12.6,103,49,5,8.85,78,7,31,22,2,1.4000000000000001,5,0,14,1,현대건설,4,0.81,0.3,0.48,0.09,108,116
3,3,2,현대건설,1,102,102,198,77,7,12,0.39,92,31,3,6,0.34,28,9,0,1,0.32,0,0,0,0,,33,16,2,3,0.48,16,9,1,2,0.56,29,12,1,0,0.41,116,5,13,0.04,132,117,15,0,23.4,207,75,1,15.0,104,47,5,8.4,105,20,33,30,3,4.0,17,0,29,0,KGC인삼공사,5,0.89,0.36,0.45,0.19,116,108
4,4,3,GS칼텍스,1,138,88,175,72,9,9,0.41,71,27,4,3,0.38,7,3,0,0,0.43,1,0,0,0,0.0,19,8,0,2,0.42,25,12,4,0,0.48,52,22,1,4,0.42,109,9,11,0.08,113,95,16,2,20.3,180,68,3,14.75,97,43,7,7.200000000000001,72,7,28,25,0,1.45,6,0,25,0,한국도로공사,0,0.84,0.38,0.44,0.1,110,107
5,5,3,한국도로공사,0,110,82,156,66,7,8,0.42,92,39,3,3,0.42,10,4,0,1,0.4,6,3,0,0,0.5,5,1,0,2,0.2,13,9,0,0,0.69,30,10,4,2,0.33,108,7,11,0.06,112,90,22,0,18.0,162,61,2,12.2,98,38,9,6.0,76,9,33,19,1,1.8,6,0,22,1,GS칼텍스,2,0.8,0.38,0.39,0.12,107,110
6,6,4,IBK기업은행,0,104,80,178,66,14,6,0.37,86,26,8,2,0.3,13,3,0,1,0.23,10,4,1,1,0.4,27,13,3,0,0.48,8,5,0,1,0.62,34,15,2,1,0.44,101,7,8,0.07,129,109,20,0,23.25,188,62,5,13.6,96,51,3,9.6,67,7,33,18,0,1.4,7,0,19,1,현대건설,3,0.84,0.33,0.53,0.1,101,105
7,7,4,현대건설,1,102,86,169,69,7,8,0.41,68,22,4,5,0.32,16,6,0,1,0.38,0,0,0,0,,30,14,1,0,0.47,19,13,0,0,0.68,36,14,2,2,0.39,105,3,9,0.03,110,96,13,1,19.3,177,65,2,13.0,93,40,7,6.8,99,14,32,33,1,2.8,12,0,21,0,IBK기업은행,5,0.87,0.37,0.43,0.14,105,101
8,8,5,KGC인삼공사,0,78,68,166,55,11,14,0.33,71,17,6,4,0.24,8,2,0,2,0.25,1,0,0,0,0.0,33,12,3,5,0.36,18,9,1,0,0.5,35,15,1,3,0.43,97,3,5,0.03,102,90,12,0,18.8,169,51,2,10.33,94,38,8,6.2,88,10,30,31,0,2.0,7,0,21,0,흥국생명,4,0.88,0.3,0.4,0.11,96,108
9,9,5,흥국생명,1,126,87,173,68,10,12,0.39,85,29,5,9,0.34,7,3,1,0,0.43,10,5,0,0,0.5,30,16,0,1,0.53,12,3,2,1,0.25,29,12,2,1,0.41,107,8,13,0.07,113,100,13,0,25.12,181,66,2,15.729999999999999,92,34,3,6.6000000000000005,63,11,23,18,1,2.33,10,0,28,1,KGC인삼공사,1,0.88,0.36,0.37,0.17,108,96
10,10,6,IBK기업은행,1,114,80,143,61,13,5,0.43,73,28,9,4,0.38,22,11,0,1,0.5,3,3,0,0,1.0,18,7,3,0,0.39,6,2,0,0,0.33,21,10,1,0,0.48,103,9,7,0.09,100,83,17,0,17.27,145,57,0,13.8,80,45,9,7.2,89,10,39,22,3,2.0,6,0,15,0,한국도로공사,3,0.83,0.39,0.56,0.11,104,95
11,11,6,한국도로공사,0,128,80,161,58,10,4,0.36,79,32,5,1,0.41,12,3,1,0,0.25,5,1,0,0,0.2,20,6,2,3,0.3,16,7,1,0,0.44,29,9,1,0,0.31,97,9,16,0.09,103,87,16,0,17.5,162,55,3,12.600000000000001,96,50,9,9.9,64,13,23,21,1,2.6,13,0,24,1,IBK기업은행,2,0.84,0.34,0.52,0.2,95,104
12,12,7,GS칼텍스,0,121,83,161,68,14,11,0.42,68,21,11,5,0.31,5,0,0,0,0.0,1,1,0,0,1.0,27,16,0,1,0.59,11,3,1,3,0.27,49,27,2,2,0.55,104,10,10,0.1,95,75,19,1,19.08,165,67,1,18.67,98,42,2,11.5,59,5,16,24,2,1.42,5,0,25,0,KGC인삼공사,0,0.79,0.41,0.43,0.08,103,104
13,13,7,KGC인삼공사,1,81,79,149,63,5,10,0.42,81,27,2,6,0.33,4,2,0,0,0.5,0,0,0,0,,28,21,1,0,0.75,17,7,1,1,0.41,19,6,1,3,0.32,104,2,5,0.02,94,75,19,0,18.75,154,60,2,15.0,94,40,10,8.0,75,14,24,23,3,3.5,13,0,20,1,GS칼텍스,4,0.8,0.39,0.43,0.19,104,103
14,14,8,현대건설,1,102,61,85,43,4,5,0.51,37,16,2,4,0.43,12,5,0,1,0.42,0,0,0,0,,14,7,1,0,0.5,10,7,0,0,0.7,12,8,1,0,0.67,73,7,5,0.1,56,49,7,0,16.34,92,42,1,13.99,49,19,1,6.01,53,11,18,11,2,3.66,9,0,13,1,흥국생명,5,0.88,0.46,0.39,0.21,75,49
15,15,8,흥국생명,0,145,36,112,31,11,12,0.28,65,18,9,6,0.28,3,0,1,0,0.0,8,3,0,1,0.38,20,6,1,4,0.3,10,1,0,0,0.1,6,3,0,1,0.5,51,1,2,0.02,62,53,9,0,20.34,107,26,0,10.66,68,27,7,7.17,29,4,13,11,0,1.67,3,0,14,0,현대건설,1,0.85,0.24,0.4,0.14,49,75
16,16,9,GS칼텍스,0,147,48,112,38,9,12,0.34,49,16,3,8,0.33,4,1,0,0,0.25,1,0,0,0,0.0,22,9,3,3,0.41,11,5,3,0,0.45,25,7,0,1,0.28,61,4,11,0.07,63,53,10,0,19.33,112,35,2,11.67,70,36,5,11.5,34,6,13,10,0,2.33,3,0,25,0,현대건설,0,0.84,0.31,0.51,0.18,60,75
17,17,9,현대건설,1,102,50,80,36,6,5,0.45,35,13,1,3,0.37,9,5,3,0,0.56,0,0,0,0,,13,5,1,2,0.38,13,8,0,0,0.62,10,5,1,0,0.5,74,5,4,0.07,54,47,7,0,15.68,88,35,2,11.66,50,25,4,7.0,55,9,14,15,1,3.0,4,0,12,1,GS칼텍스,5,0.87,0.4,0.5,0.16,75,60
18,18,10,KGC인삼공사,1,95,83,160,61,12,9,0.38,92,33,7,8,0.36,2,0,1,0,0.0,3,1,0,1,0.33,34,16,3,0,0.47,15,5,0,0,0.33,14,6,1,0,0.43,112,5,7,0.04,114,95,19,0,20.35,169,57,2,11.45,90,38,4,7.779999999999999,90,17,26,25,0,3.45,14,0,18,1,한국도로공사,4,0.83,0.34,0.42,0.19,112,101
19,19,10,한국도로공사,0,118,83,182,67,17,12,0.37,108,39,12,7,0.36,15,7,0,2,0.47,8,3,1,0,0.38,24,5,4,3,0.21,12,4,0,0,0.33,15,9,0,0,0.6,101,4,11,0.04,113,99,14,0,20.82,188,60,4,13.52,105,48,5,9.25,76,12,24,24,2,2.5,10,0,29,0,KGC인삼공사,2,0.88,0.32,0.46,0.16,101,112
20,20,11,GS칼텍스,0,138,50,110,43,7,7,0.39,50,14,3,4,0.28,6,3,1,0,0.5,1,1,0,0,1.0,15,8,1,1,0.53,7,2,0,0,0.29,31,15,2,2,0.48,62,4,9,0.06,62,53,9,0,18.34,111,41,3,13.67,67,28,2,11.49,50,3,12,23,1,1.1600000000000001,3,0,20,1,IBK기업은행,0,0.85,0.37,0.42,0.06,61,75
21,21,11,IBK기업은행,1,114,55,103,46,3,4,0.45,57,27,1,2,0.47,12,7,1,0,0.58,6,1,0,0,0.17,14,4,0,1,0.29,3,2,0,1,0.67,11,5,1,0,0.45,74,2,7,0.03,77,69,8,0,23.5,106,43,0,15.49,53,15,4,3.66,48,7,19,18,0,2.33,6,0,11,0,GS칼텍스,3,0.9,0.41,0.28,0.15,75,61
22,22,12,한국도로공사,1,133,54,112,39,4,4,0.35,53,14,2,4,0.26,8,2,1,0,0.25,1,0,0,0,0.0,19,7,0,0,0.37,8,3,1,0,0.38,23,13,0,0,0.57,73,5,3,0.07,76,71,5,0,24.34,113,36,2,12.16,51,27,2,103.31,56,10,21,15,1,3.34,7,0,10,0,흥국생명,2,0.93,0.32,0.53,0.18,75,54
23,23,12,흥국생명,0,122,44,129,38,10,13,0.29,75,24,7,11,0.32,9,3,0,0,0.33,2,1,0,0,0.5,23,7,1,2,0.3,13,1,2,0,0.08,7,2,0,0,0.29,56,2,5,0.04,88,74,14,0,26.66,135,37,0,12.33,70,30,5,129.41,31,4,15,7,3,1.33,2,0,21,1,한국도로공사,1,0.84,0.27,0.43,0.13,54,75
24,24,13,GS칼텍스,1,138,86,157,71,4,12,0.45,55,24,4,3,0.44,14,5,0,1,0.36,0,0,0,0,,35,14,0,3,0.4,11,2,0,3,0.18,42,26,0,2,0.62,110,2,11,0.02,99,80,18,1,16.77,160,67,1,13.700000000000001,92,43,4,8.15,73,13,31,17,2,3.3,8,0,27,1,흥국생명,0,0.81,0.42,0.47,0.18,111,101
25,25,13,흥국생명,0,141,74,166,66,13,10,0.4,100,44,6,6,0.44,7,1,2,0,0.14,3,2,0,0,0.67,21,7,2,2,0.33,15,7,1,0,0.47,20,5,2,2,0.25,102,4,10,0.04,110,87,22,1,18.5,177,62,2,12.399999999999999,99,40,2,7.6499999999999995,55,4,22,24,2,0.8,2,0,25,0,GS칼텍스,1,0.79,0.35,0.4,0.07,101,111
26,26,14,한국도로공사,1,110,80,160,64,10,6,0.4,73,27,4,4,0.37,8,3,1,0,0.38,7,2,0,0,0.29,20,5,1,1,0.25,12,8,0,1,0.67,40,19,4,0,0.48,99,4,9,0.04,110,97,12,1,24.58,164,60,1,15.0,80,36,4,8.33,74,12,30,17,2,3.0,10,0,19,1,현대건설,2,0.88,0.37,0.45,0.16,100,82
27,27,14,현대건설,0,102,63,163,49,12,13,0.3,63,18,6,5,0.29,16,6,1,0,0.38,0,0,0,0,,30,5,4,4,0.17,19,6,1,2,0.32,35,14,0,2,0.4,83,4,3,0.05,111,90,19,2,22.5,170,47,1,11.75,90,47,4,10.75,62,10,20,18,1,2.5,7,0,20,0,한국도로공사,5,0.81,0.28,0.52,0.16,82,100
28,28,15,IBK기업은행,0,129,79,187,63,16,5,0.34,103,35,10,1,0.34,15,3,1,2,0.2,8,0,0,1,0.0,30,13,1,1,0.43,11,5,2,0,0.45,20,7,2,0,0.35,98,4,12,0.04,137,113,24,0,23.98,186,61,3,12.88,93,42,4,8.05,92,12,35,27,0,2.4,9,0,20,1,KGC인삼공사,3,0.82,0.33,0.45,0.13,98,104
29,29,15,KGC인삼공사,1,95,84,180,64,12,5,0.36,83,25,7,2,0.3,17,8,0,0,0.47,2,0,0,0,0.0,37,14,2,2,0.38,16,7,1,1,0.44,25,10,2,0,0.4,104,4,11,0.04,134,119,15,0,24.07,188,63,2,12.6,86,39,4,7.27,91,16,31,27,1,3.2,11,0,19,0,IBK기업은행,4,0.89,0.34,0.45,0.18,104,98
30,30,16,GS칼텍스,1,117,88,185,73,13,12,0.39,78,31,7,4,0.4,7,1,0,0,0.14,4,1,1,0,0.25,32,13,2,6,0.41,10,3,1,1,0.3,54,24,2,1,0.44,108,3,5,0.03,127,106,21,0,22.65,193,72,1,19.95,96,42,4,7.75,68,12,22,17,0,2.67,9,0,18,0,현대건설,0,0.83,0.37,0.44,0.18,108,102
31,31,16,현대건설,0,120,84,177,67,12,9,0.38,66,24,3,1,0.36,10,5,1,0,0.5,1,0,0,0,0.0,49,17,4,4,0.35,18,9,1,1,0.5,33,12,3,3,0.36,103,4,7,0.04,118,95,22,1,19.0,184,65,2,13.0,102,53,3,10.3,89,13,28,28,1,2.6,11,0,20,1,GS칼텍스,5,0.81,0.35,0.52,0.15,102,108
32,32,17,한국도로공사,1,110,62,128,49,6,7,0.38,57,18,4,2,0.32,27,15,1,3,0.56,7,5,0,0,0.71,8,2,0,0,0.25,9,4,1,0,0.44,20,5,0,2,0.25,82,1,8,0.01,85,74,10,1,24.66,128,46,0,15.33,62,36,3,10.99,61,12,17,23,0,3.99,9,0,16,1,흥국생명,2,0.87,0.36,0.58,0.2,84,71
33,33,17,흥국생명,0,91,55,129,46,12,9,0.36,80,29,9,5,0.36,3,3,0,0,1.0,5,3,1,0,0.6,19,6,0,2,0.32,12,2,1,2,0.17,10,3,1,0,0.3,73,3,11,0.04,88,72,16,0,24.0,139,44,2,14.83,74,33,1,10.66,50,6,23,12,0,2.16,5,0,22,0,한국도로공사,1,0.82,0.32,0.45,0.12,71,84
34,34,18,IBK기업은행,1,126,60,114,43,8,8,0.38,62,22,5,4,0.35,9,1,1,1,0.11,5,3,0,0,0.6,8,1,1,1,0.12,5,2,0,0,0.4,25,14,1,2,0.56,73,8,5,0.11,73,68,5,0,24.17,116,41,2,13.66,54,24,2,7.33,68,9,27,15,0,3.0,6,0,15,0,KGC인삼공사,3,0.93,0.35,0.44,0.13,75,56
35,35,18,KGC인삼공사,0,98,41,119,31,9,10,0.26,58,13,3,5,0.22,9,1,1,0,0.11,1,0,0,0,0.0,25,10,3,1,0.4,8,4,0,0,0.5,18,3,2,4,0.17,58,2,4,0.03,89,70,18,1,23.33,126,31,0,10.82,68,21,8,5.33,49,8,19,15,0,2.67,8,0,15,1,IBK기업은행,4,0.79,0.25,0.31,0.16,56,75
36,36,19,GS칼텍스,0,123,54,116,45,2,12,0.39,39,15,1,3,0.38,8,4,0,0,0.5,1,0,0,0,0.0,24,7,1,4,0.29,9,4,0,0,0.44,35,15,0,5,0.43,69,1,6,0.01,71,58,13,0,19.66,120,44,1,14.66,73,36,7,10.17,59,8,11,24,2,2.66,5,0,21,1,흥국생명,0,0.82,0.37,0.49,0.14,68,77
37,37,19,흥국생명,1,118,56,123,47,8,10,0.38,69,25,5,3,0.36,3,0,0,1,0.0,9,6,0,0,0.67,12,3,1,3,0.25,12,4,1,0,0.33,18,9,1,3,0.5,76,7,3,0.09,82,71,11,0,26.33,130,47,1,15.66,63,28,1,9.0,43,2,17,16,0,1.33,2,0,14,0,GS칼텍스,1,0.87,0.36,0.44,0.05,77,68
38,38,20,한국도로공사,0,136,60,128,54,17,7,0.42,58,16,10,5,0.28,13,6,1,0,0.46,9,8,0,0,0.89,13,6,0,0,0.46,11,7,2,0,0.64,24,11,4,2,0.46,77,2,9,0.03,68,53,15,0,14.0,130,52,1,14.5,89,50,8,11.42,33,4,8,14,1,1.0,3,0,18,0,현대건설,2,0.78,0.4,0.56,0.12,76,96
39,39,20,현대건설,1,97,78,106,53,4,4,0.5,39,17,1,3,0.44,18,8,1,0,0.44,0,0,0,0,,15,9,1,1,0.6,11,9,1,0,0.82,23,10,0,0,0.43,95,8,6,0.08,72,54,18,0,13.5,108,50,4,12.5,68,34,2,8.0,59,17,16,16,2,4.25,15,0,16,1,한국도로공사,5,0.75,0.46,0.5,0.29,96,76
40,40,21,KGC인삼공사,1,76,55,102,40,3,5,0.39,50,17,2,2,0.34,11,6,0,1,0.55,2,1,0,0,0.5,22,13,0,2,0.59,8,1,1,0,0.12,9,2,0,0,0.22,74,8,3,0.11,76,66,10,0,22.0,101,38,1,12.83,43,18,2,5.33,42,7,16,13,0,2.3200000000000003,7,0,9,1,흥국생명,4,0.87,0.38,0.42,0.17,74,46
41,41,21,흥국생명,0,131,37,109,32,7,10,0.29,52,15,4,6,0.29,10,2,0,0,0.2,13,5,0,1,0.38,9,2,0,1,0.22,14,6,2,1,0.43,11,2,1,1,0.18,47,2,4,0.04,71,54,16,1,19.17,107,31,3,10.33,70,27,8,6.33,34,3,18,3,1,0.99,1,0,19,0,KGC인삼공사,1,0.76,0.29,0.39,0.09,46,74
42,42,22,GS칼텍스,1,129,83,167,72,9,7,0.43,85,30,5,4,0.35,7,5,0,0,0.71,0,0,0,0,,34,13,3,2,0.38,12,7,1,1,0.58,29,17,0,0,0.59,111,3,11,0.03,103,84,19,0,18.450000000000003,168,69,3,14.729999999999999,99,43,5,9.8,83,8,25,34,2,1.86,7,0,23,0,IBK기업은행,0,0.82,0.41,0.43,0.1,111,109
43,43,22,IBK기업은행,0,129,86,168,72,8,10,0.43,92,36,7,5,0.39,9,5,0,1,0.56,8,2,0,0,0.25,25,13,0,1,0.52,9,5,0,1,0.56,25,11,1,2,0.44,109,5,10,0.05,115,87,26,2,20.7,169,70,2,15.429999999999998,100,40,3,8.75,66,9,27,16,4,1.8,9,0,28,1,GS칼텍스,3,0.76,0.41,0.4,0.14,109,111
44,44,23,KGC인삼공사,0,81,76,184,62,13,10,0.34,113,33,9,8,0.29,11,5,0,0,0.45,4,2,0,0,0.5,30,13,1,1,0.43,6,1,0,0,0.17,20,8,3,1,0.4,101,4,11,0.04,143,126,17,0,28.1,191,56,4,13.65,90,21,7,3.55,79,10,32,22,0,2.1,8,0,25,0,한국도로공사,4,0.88,0.29,0.23,0.13,100,104
45,45,23,한국도로공사,1,133,79,188,59,10,10,0.31,93,25,5,6,0.27,20,10,0,0,0.5,5,0,1,1,0.0,19,5,0,1,0.26,14,6,2,0,0.43,37,13,2,2,0.35,103,7,13,0.07,135,117,18,0,24.0,190,56,0,11.2,90,42,4,8.100000000000001,87,13,32,24,1,2.6,13,0,24,1,KGC인삼공사,2,0.87,0.29,0.47,0.15,104,100
46,46,24,현대건설,1,102,63,105,48,3,3,0.46,49,18,1,2,0.37,10,3,0,0,0.3,3,2,0,0,0.67,11,5,1,1,0.45,14,8,0,0,0.57,18,12,1,0,0.67,73,3,7,0.04,67,58,8,1,19.32,106,43,1,14.33,59,28,3,8.33,66,12,16,20,0,4.0,6,0,12,1,흥국생명,5,0.87,0.41,0.47,0.18,75,59
47,47,24,흥국생명,0,124,47,123,41,12,7,0.33,47,12,2,3,0.26,11,4,1,0,0.36,10,3,3,1,0.3,11,5,0,2,0.45,11,2,2,1,0.18,33,15,4,0,0.45,61,3,2,0.05,87,70,17,0,24.0,128,40,0,13.33,66,43,3,13.33,31,3,13,7,3,1.17,2,0,12,0,현대건설,1,0.8,0.31,0.65,0.1,59,75
48,48,25,GS칼텍스,0,137,60,143,50,14,10,0.35,66,25,5,3,0.38,2,0,1,1,0.0,0,0,0,0,,20,4,4,2,0.2,18,7,1,0,0.39,37,14,3,4,0.38,82,6,6,0.07,89,73,15,1,19.0,144,49,0,12.58,82,35,5,8.0,53,4,21,15,1,1.0,3,0,18,1,한국도로공사,0,0.82,0.34,0.43,0.08,81,94
49,49,25,한국도로공사,1,129,76,129,57,4,6,0.44,55,20,1,4,0.36,21,15,1,0,0.71,7,2,1,0,0.29,7,4,1,0,0.57,8,3,0,0,0.38,31,13,0,2,0.42,94,5,11,0.05,85,73,11,1,19.08,132,55,2,13.75,76,40,6,8.75,60,14,19,13,1,3.5,12,0,21,0,GS칼텍스,2,0.86,0.42,0.53,0.23,94,81
50,50,26,IBK기업은행,0,114,39,104,32,12,4,0.31,40,13,6,2,0.32,7,4,0,0,0.57,7,4,1,0,0.57,25,6,4,1,0.24,7,0,0,1,0.0,18,5,1,0,0.28,53,5,6,0.09,62,49,13,0,18.33,111,32,0,13.0,67,30,4,8.66,44,2,19,16,1,0.66,1,0,11,0,현대건설,3,0.79,0.29,0.45,0.05,51,75
51,51,26,현대건설,1,97,64,97,48,2,4,0.49,47,25,1,2,0.53,7,2,0,0,0.29,1,1,0,0,1.0,12,4,0,1,0.33,13,9,1,1,0.69,17,7,0,0,0.41,73,4,6,0.05,71,62,9,0,20.68,97,45,1,15.0,47,16,5,4.0,51,12,16,15,1,4.0,8,0,12,1,IBK기업은행,5,0.87,0.46,0.34,0.24,75,51
52,52,27,IBK기업은행,0,120,70,177,52,6,10,0.29,91,26,2,5,0.29,12,4,1,0,0.33,7,1,1,0,0.14,39,11,1,3,0.28,9,1,0,0,0.11,19,9,1,2,0.47,97,6,11,0.06,119,103,15,1,23.35,179,52,2,11.2,97,35,6,5.800000000000001,91,12,27,30,4,2.5,10,0,28,0,흥국생명,3,0.87,0.29,0.36,0.13,98,108
53,53,27,흥국생명,1,118,80,191,68,12,13,0.36,112,40,6,7,0.36,16,7,1,2,0.44,7,2,2,0,0.29,21,6,0,3,0.29,8,3,0,0,0.38,27,10,3,1,0.37,109,6,12,0.06,133,122,11,0,25.5,191,67,2,13.399999999999999,86,39,6,6.6000000000000005,75,6,33,20,1,1.2000000000000002,3,0,28,1,IBK기업은행,1,0.92,0.35,0.45,0.08,108,98
54,54,28,KGC인삼공사,1,87,59,107,47,8,2,0.44,63,27,2,1,0.43,3,2,0,0,0.67,1,1,0,0,1.0,26,12,3,1,0.46,2,0,1,0,0.0,12,5,2,0,0.42,74,5,3,0.07,73,66,7,0,22.67,117,46,4,15.33,58,24,4,6.66,53,7,21,16,0,2.3400000000000003,7,0,9,0,현대건설,4,0.9,0.39,0.41,0.13,75,64
55,55,28,현대건설,0,113,55,115,43,7,5,0.37,48,15,4,3,0.31,14,5,0,0,0.36,0,0,0,0,,16,5,2,2,0.31,16,11,0,0,0.69,21,7,1,0,0.33,65,4,7,0.06,72,60,12,0,20.67,121,42,3,14.0,71,26,5,7.66,52,8,15,19,1,2.67,7,0,16,1,KGC인삼공사,5,0.83,0.35,0.37,0.15,64,75
56,56,29,IBK기업은행,0,110,52,111,41,7,8,0.37,53,19,2,5,0.36,2,0,0,0,0.0,5,3,1,0,0.6,25,9,3,1,0.36,8,3,0,0,0.38,18,7,1,2,0.39,67,2,8,0.03,78,63,14,1,22.0,125,40,2,16.32,70,32,2,10.34,50,9,19,15,2,3.0100000000000002,7,0,21,1,한국도로공사,3,0.81,0.32,0.46,0.18,66,76
57,57,29,한국도로공사,1,133,55,119,46,9,5,0.39,56,19,5,3,0.34,12,6,1,1,0.5,3,2,0,0,0.67,10,7,1,0,0.7,10,4,0,0,0.4,28,8,2,1,0.29,75,2,5,0.03,79,69,10,0,23.68,119,45,0,17.66,59,30,2,9.66,53,7,21,16,4,3.0,6,0,14,0,IBK기업은행,2,0.87,0.38,0.51,0.13,76,66
58,58,30,GS칼텍스,1,114,64,115,50,3,4,0.43,48,21,2,0,0.44,3,0,0,0,0.0,2,1,0,0,0.5,20,8,0,3,0.4,10,4,1,1,0.4,32,16,0,0,0.5,73,4,6,0.05,79,74,5,0,25.16,117,49,2,16.330000000000002,51,25,2,7.67,66,10,21,18,0,3.33,7,0,12,1,KGC인삼공사,0,0.94,0.42,0.49,0.15,75,52
59,59,30,KGC인삼공사,0,76,40,119,35,10,6,0.29,57,20,3,3,0.35,10,1,0,1,0.1,2,0,2,0,0.0,20,7,1,1,0.35,9,3,1,0,0.33,21,4,3,1,0.19,54,2,3,0.04,80,69,11,0,26.33,127,33,1,11.0,67,33,4,10.99,59,3,26,20,1,0.99,1,0,11,0,GS칼텍스,4,0.86,0.26,0.49,0.05,52,75
60,60,31,IBK기업은행,1,100,59,100,45,5,5,0.45,43,16,2,3,0.37,11,6,0,0,0.55,4,1,1,0,0.25,21,12,1,0,0.57,5,1,0,0,0.2,16,9,1,2,0.56,73,7,8,0.1,70,65,5,0,22.0,106,43,0,15.15,46,20,2,6.0,45,7,15,14,1,2.5,7,0,14,1,흥국생명,3,0.93,0.41,0.43,0.16,75,51
61,61,31,흥국생명,0,123,37,98,30,7,6,0.31,63,17,3,4,0.27,3,2,0,0,0.67,1,0,0,0,0.0,14,5,1,2,0.36,3,0,0,0,0.0,14,6,3,0,0.43,53,2,7,0.04,70,56,12,2,18.67,107,29,0,10.33,65,17,7,3.67,37,5,12,15,1,1.6600000000000001,4,0,16,0,IBK기업은행,1,0.8,0.27,0.26,0.14,51,75
62,62,32,KGC인삼공사,0,82,32,100,26,13,7,0.26,58,14,5,4,0.24,9,3,1,0,0.33,0,0,0,0,,14,4,3,3,0.29,5,1,0,0,0.2,14,4,4,0,0.29,47,2,3,0.04,65,54,11,0,18.66,100,21,0,7.0,63,11,5,2.0,39,4,12,15,0,1.33,3,0,10,0,한국도로공사,4,0.83,0.21,0.17,0.1,46,75
63,63,32,한국도로공사,1,129,65,98,47,4,2,0.48,49,20,3,2,0.41,10,3,1,0,0.3,2,1,0,0,0.5,4,1,0,0,0.25,5,3,0,0,0.6,28,19,0,0,0.68,74,5,11,0.07,69,59,10,0,20.33,95,41,1,14.33,44,21,2,6.67,50,13,12,10,0,4.33,11,0,14,1,KGC인삼공사,2,0.86,0.43,0.48,0.26,75,46
64,64,33,IBK기업은행,1,95,95,191,78,14,10,0.41,83,30,5,7,0.36,10,3,2,0,0.3,12,7,0,0,0.58,49,22,4,1,0.45,5,1,0,0,0.2,32,15,3,2,0.47,112,6,9,0.05,121,108,13,0,22.9,196,75,2,16.63,97,53,2,11.4,83,11,35,17,2,2.2,10,0,23,0,현대건설,3,0.89,0.38,0.55,0.13,113,99
65,65,33,현대건설,0,138,76,178,60,11,8,0.34,74,17,6,4,0.23,23,11,0,0,0.48,1,0,0,0,0.0,31,12,3,1,0.39,20,10,0,1,0.5,29,10,2,2,0.34,100,2,3,0.02,132,104,28,0,20.8,186,56,5,13.6,103,45,6,7.85,85,14,33,23,2,2.8,11,0,18,1,IBK기업은행,5,0.79,0.3,0.44,0.16,99,113
66,66,34,GS칼텍스,0,135,53,111,47,7,7,0.42,59,26,4,2,0.44,0,0,0,0,,0,0,0,0,,15,4,1,3,0.27,7,0,1,1,0.0,30,17,1,1,0.57,64,4,3,0.06,72,58,13,1,22.49,112,45,1,15.33,66,21,5,6.99,48,2,20,15,1,0.66,1,0,13,0,한국도로공사,0,0.81,0.4,0.32,0.04,63,74
67,67,34,한국도로공사,1,129,61,110,49,2,2,0.45,46,19,1,0,0.41,20,12,0,1,0.6,0,0,0,0,,8,2,1,1,0.25,10,4,0,0,0.4,26,12,0,0,0.46,74,5,7,0.07,71,61,10,0,21.0,112,48,0,21.99,61,39,4,12.66,49,7,17,20,1,3.0,6,0,10,1,GS칼텍스,2,0.86,0.43,0.64,0.14,74,63
