,index,팀명,범실_상대전적,디그_상대전적,리시브_상대전적,공격종합_상대전적,블로킹_상대전적,세트_상대전적,서브_상대전적
0,0,대한항공,24.218750000000004,0.734375,0.49864583333333345,0.5207291666666667,0.1738541666666667,0.5002083333333334,0.06708333333333333
0,1,현대캐피탈,21.031250000000004,0.7508333333333334,0.5169791666666668,0.5314583333333334,0.20989583333333334,0.47874999999999995,0.053645833333333344
0,2,KB손해보험,24.93055555555556,0.7559722222222223,0.4418055555555555,0.5088888888888888,0.19611111111111112,0.4733333333333334,0.08305555555555555
0,3,삼성화재,23.38888888888889,0.7629166666666666,0.5320833333333331,0.5558333333333333,0.20777777777777784,0.5179166666666665,0.043194444444444445
0,4,OK금융그룹,24.82051282051282,0.7315384615384615,0.5108974358974359,0.4947435897435896,0.1761538461538462,0.44499999999999995,0.059358974358974345
0,5,한국전력,21.41025641025641,0.7448717948717947,0.4919230769230768,0.4638461538461539,0.1817948717948718,0.4333333333333333,0.0471794871794872
0,6,KB손해보험,24.961538461538467,0.7598717948717949,0.4412820512820513,0.5032051282051281,0.19871794871794873,0.46282051282051284,0.08038461538461537
0,7,현대캐피탈,20.846153846153847,0.757948717948718,0.5183333333333334,0.5319230769230769,0.2167948717948718,0.47397435897435886,0.060384615384615384
0,8,대한항공,23.944444444444446,0.734,0.49922222222222234,0.5207777777777778,0.17300000000000001,0.4997777777777778,0.06777777777777777
0,9,우리카드,22.38888888888889,0.7366666666666668,0.46488888888888896,0.522,0.16444444444444445,0.49488888888888893,0.06377777777777778
0,10,OK금융그룹,25.08,0.7293333333333334,0.5121333333333332,0.4942666666666666,0.17813333333333337,0.4450666666666666,0.060266666666666656
0,11,삼성화재,23.293333333333337,0.7630666666666666,0.5297333333333332,0.5535999999999999,0.20693333333333339,0.5159999999999999,0.04346666666666667
0,12,KB손해보험,24.97333333333334,0.7586666666666667,0.4414666666666666,0.5057333333333333,0.19813333333333336,0.4678666666666667,0.08146666666666666
0,13,한국전력,21.4,0.7423999999999996,0.48973333333333324,0.46426666666666677,0.18346666666666667,0.4346666666666666,0.048400000000000026
0,14,우리카드,22.797619047619044,0.7420238095238096,0.46654761904761916,0.5270238095238096,0.1686904761904762,0.49869047619047624,0.06273809523809523
0,15,현대캐피탈,20.738095238095237,0.753452380952381,0.5179761904761906,0.5342857142857144,0.21404761904761904,0.47761904761904755,0.05797619047619048
0,16,OK금융그룹,25.08,0.7293333333333334,0.5121333333333332,0.4942666666666666,0.17813333333333337,0.4450666666666666,0.060266666666666656
0,17,대한항공,23.96,0.728,0.5036,0.5169333333333334,0.16933333333333334,0.49506666666666677,0.0696
0,18,삼성화재,23.293333333333337,0.7630666666666666,0.5297333333333332,0.5535999999999999,0.20693333333333339,0.5159999999999999,0.04346666666666667
0,19,우리카드,23.266666666666666,0.7454666666666668,0.4682666666666668,0.5341333333333335,0.166,0.5028,0.05906666666666667
0,20,한국전력,21.444444444444443,0.7422222222222219,0.48805555555555546,0.4658333333333335,0.18486111111111111,0.43708333333333327,0.04972222222222225
0,21,현대캐피탈,21.416666666666668,0.7606944444444445,0.5158333333333334,0.5301388888888889,0.22194444444444447,0.47208333333333324,0.059861111111111115
0,22,OK금융그룹,24.82051282051282,0.7315384615384615,0.5108974358974359,0.4947435897435896,0.1761538461538462,0.44499999999999995,0.059358974358974345
0,23,우리카드,23.17948717948718,0.7469230769230771,0.46705128205128216,0.5330769230769231,0.16782051282051283,0.5015384615384616,0.060000000000000005
0,24,KB손해보험,24.97333333333334,0.7586666666666667,0.4414666666666666,0.5057333333333333,0.19813333333333336,0.4678666666666667,0.08146666666666666
0,25,대한항공,23.96,0.728,0.5036,0.5169333333333334,0.16933333333333334,0.49506666666666677,0.0696
0,26,삼성화재,23.410256410256412,0.7624358974358973,0.5296153846153845,0.5521794871794872,0.20589743589743595,0.5146153846153845,0.04410256410256411
0,27,한국전력,21.41025641025641,0.7448717948717947,0.4919230769230768,0.4638461538461539,0.1817948717948718,0.4333333333333333,0.0471794871794872
0,28,OK금융그룹,25.08,0.7293333333333334,0.5121333333333332,0.4942666666666666,0.17813333333333337,0.4450666666666666,0.060266666666666656
0,29,현대캐피탈,21.08,0.7589333333333333,0.5181333333333334,0.5313333333333334,0.21853333333333336,0.4730666666666666,0.060666666666666674
0,30,KB손해보험,24.961538461538467,0.7598717948717949,0.4412820512820513,0.5032051282051281,0.19871794871794873,0.46282051282051284,0.08038461538461537
0,31,우리카드,23.17948717948718,0.7469230769230771,0.46705128205128216,0.5330769230769231,0.16782051282051283,0.5015384615384616,0.060000000000000005
0,32,대한항공,24.194444444444443,0.7268055555555555,0.5031944444444445,0.5156944444444445,0.16722222222222224,0.4937500000000001,0.06888888888888887
0,33,한국전력,21.444444444444443,0.7422222222222219,0.48805555555555546,0.4658333333333335,0.18486111111111111,0.43708333333333327,0.04972222222222225
0,34,삼성화재,23.293333333333337,0.7630666666666666,0.5297333333333332,0.5535999999999999,0.20693333333333339,0.5159999999999999,0.04346666666666667
0,35,현대캐피탈,21.08,0.7589333333333333,0.5181333333333334,0.5313333333333334,0.21853333333333336,0.4730666666666666,0.060666666666666674
0,36,KB손해보험,24.975308641975314,0.7591358024691358,0.4414814814814815,0.5049382716049382,0.19864197530864197,0.46481481481481485,0.08061728395061729
0,37,OK금융그룹,24.555555555555557,0.7343209876543211,0.5101234567901234,0.49666666666666653,0.17592592592592596,0.44629629629629625,0.059506172839506155
0,38,우리카드,23.266666666666666,0.7454666666666668,0.4682666666666668,0.5341333333333335,0.166,0.5028,0.05906666666666667
