,시즌,팀명,총경기수,이긴경기,승률,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,디그_성공,세트_성공,리시브_정확,블로킹_성공
0,17-18,IBK기업은행,36,21,58.333333333333336,21.541927083333334,18.708619791666667,12.508098958333333,8.743151041666666,7.450572916666666,7.4441927083333335,16.925208333333334,0.12408854166666666,7.6796875,4.846354166666667,2.8411458333333335,0.765625
1,17-18,현대건설,33,15,45.45454545454545,25.670598006644518,20.193588039867112,16.61687707641196,2.6135215946843853,7.148338870431894,10.821860465116279,15.376312292358806,0.14651162790697675,8.518272425249169,5.3023255813953485,3.524916943521595,1.1893687707641196
2,17-18,한국도로공사,33,24,72.72727272727273,22.98970822281167,18.414429708222812,15.168594164456234,8.311962864721485,6.456631299734748,8.244827586206897,15.81238726790451,0.11275862068965517,7.291777188328912,4.687002652519894,3.381962864721485,0.7798408488063661
3,17-18,흥국생명,30,11,36.666666666666664,18.930972972972974,15.827432432432431,9.181135135135134,4.907648648648649,5.510054054054054,5.7721351351351355,10.157243243243244,0.09881081081081082,6.883783783783784,3.9324324324324325,2.872972972972973,0.5486486486486486
4,17-18,KGC인삼공사,30,12,40.0,21.380336391437307,19.37795107033639,10.874159021406728,2.854189602446483,4.692232415902141,7.619235474006116,13.352721712538226,0.08755351681957187,7.556574923547401,4.204892966360856,2.874617737003058,0.746177370030581
5,17-18,GS칼텍스,30,13,43.333333333333336,21.447119113573407,18.392714681440445,8.428725761772853,1.3157894736842106,6.101883656509695,6.984293628808864,12.589224376731302,0.11822714681440444,6.462603878116344,4.448753462603878,2.85595567867036,0.590027700831025
0,18-19,한국도로공사,37,25,67.56756756756756,24.038621495327103,20.228341121495326,13.902943925233645,8.423341121495326,5.769275700934579,8.022359813084112,14.52626168224299,0.07796728971962616,7.677570093457944,4.675233644859813,3.6051401869158877,0.7710280373831776
1,18-19,흥국생명,34,22,64.70588235294117,21.79468030690537,19.584910485933502,12.593452685421994,4.4733248081841435,6.642915601023018,7.107186700767263,10.681125319693093,0.09135549872122761,7.465473145780051,4.4808184143222505,2.9846547314578005,0.7289002557544757
2,18-19,GS칼텍스,33,16,48.484848484848484,21.434354430379745,18.312101265822783,7.172987341772152,1.3164556962025316,6.297544303797469,6.985367088607594,14.29546835443038,0.09835443037974684,6.726582278481013,4.326582278481013,2.7164556962025315,0.6886075949367089
3,18-19,IBK기업은행,30,17,56.666666666666664,22.05671597633136,18.95346153846154,12.347189349112426,5.427603550295858,4.876982248520711,9.011923076923077,14.05887573964497,0.11026627218934912,7.494082840236686,4.57396449704142,3.1449704142011834,0.7928994082840237
4,18-19,현대건설,30,11,36.666666666666664,24.52167808219178,22.182431506849316,10.542260273972603,1.0559246575342465,5.833664383561644,9.544178082191781,15.786575342465754,0.09955479452054794,7.828767123287672,4.859589041095891,3.4794520547945207,0.7945205479452054
5,18-19,KGC인삼공사,30,6,20.0,22.544463768115943,18.813130434782607,12.284985507246375,3.719797101449275,3.901797101449276,6.977855072463768,16.126463768115944,0.0775072463768116,6.666666666666667,3.782608695652174,3.063768115942029,0.6202898550724638
0,19-20,흥국생명,27,16,59.25925925925925,21.1975625,18.184593749999998,12.4426875,5.61971875,7.092093749999999,8.04940625,12.72753125,0.10909375000000002,7.503125,4.43125,2.296875,0.7
1,19-20,IBK기업은행,27,9,33.33333333333333,19.939179810725552,17.214384858044163,10.935867507886435,5.317697160883281,3.9721766561514196,7.066561514195583,11.46268138801262,0.10186119873817034,6.580441640378549,3.9842271293375395,2.280757097791798,0.6246056782334385
2,19-20,GS칼텍스,27,18,66.66666666666666,22.097834757834757,19.547150997150997,7.668547008547008,3.5849572649572647,6.641680911680912,6.813589743589744,14.146210826210826,0.11153846153846153,5.897435897435898,3.8945868945868947,2.1538461538461537,0.7150997150997151
3,19-20,현대건설,27,17,62.96296296296296,26.97425925925926,23.64359259259259,8.857999999999999,1.3888888888888888,3.7625925925925925,11.078703703703704,15.829592592592592,0.12462962962962962,7.637037037037037,4.966666666666667,2.825925925925926,0.9592592592592593
