,index,팀명,범실_상대전적,디그_상대전적,리시브_상대전적,공격종합_상대전적,블로킹_상대전적,세트_상대전적,서브_상대전적
0,0,IBK기업은행,18.61728395061729,0.8534567901234565,0.4104938271604939,0.3972839506172839,0.13469135802469137,0.3719753086419753,0.05925925925925926
0,1,흥국생명,19.962962962962962,0.8408641975308642,0.43604938271604926,0.3377777777777778,0.1111111111111111,0.31358024691358016,0.055555555555555546
0,2,KGC인삼공사,17.653846153846153,0.8388461538461538,0.39525641025641023,0.34217948717948715,0.12974358974358974,0.3085897435897436,0.04205128205128206
0,3,현대건설,17.256410256410255,0.8429487179487182,0.422051282051282,0.39179487179487194,0.1696153846153846,0.3603846153846153,0.059487179487179506
0,4,GS칼텍스,19.90804597701149,0.834712643678161,0.43436781609195413,0.39770114942528734,0.11804597701149425,0.3705747126436782,0.05367816091954023
0,5,한국도로공사,18.954022988505745,0.857816091954023,0.5098850574712643,0.3924137931034483,0.1395402298850575,0.3654022988505747,0.05367816091954024
0,6,IBK기업은행,18.61728395061729,0.8534567901234565,0.4104938271604939,0.3972839506172839,0.13469135802469137,0.3719753086419753,0.05925925925925926
0,7,현대건설,17.432098765432098,0.8432098765432101,0.42234567901234565,0.388888888888889,0.16740740740740742,0.3575308641975308,0.05925925925925927
0,8,KGC인삼공사,17.479999999999997,0.8394666666666666,0.3953333333333333,0.34240000000000004,0.13026666666666667,0.3088,0.042266666666666675
0,9,흥국생명,19.89333333333333,0.8403999999999999,0.4349333333333332,0.3370666666666667,0.1124,0.31279999999999997,0.05599999999999999
0,10,IBK기업은행,18.61728395061729,0.8534567901234565,0.4104938271604939,0.3972839506172839,0.13469135802469137,0.3719753086419753,0.05925925925925926
0,11,한국도로공사,19.098765432098762,0.8587654320987654,0.5107407407407408,0.39444444444444443,0.14061728395061732,0.3667901234567901,0.052345679012345686
0,12,GS칼텍스,19.76923076923077,0.833846153846154,0.4393589743589744,0.3964102564102564,0.11089743589743588,0.37064102564102563,0.051153846153846154
0,13,KGC인삼공사,17.653846153846153,0.8388461538461538,0.39525641025641023,0.34217948717948715,0.12974358974358974,0.3085897435897436,0.04205128205128206
0,14,현대건설,17.432098765432098,0.8432098765432101,0.42234567901234565,0.388888888888889,0.16740740740740742,0.3575308641975308,0.05925925925925927
0,15,흥국생명,19.962962962962962,0.8408641975308642,0.43604938271604926,0.3377777777777778,0.1111111111111111,0.31358024691358016,0.055555555555555546
0,16,GS칼텍스,20.01388888888889,0.8355555555555556,0.43916666666666676,0.39499999999999996,0.10611111111111109,0.36902777777777773,0.05125
0,17,현대건설,16.97222222222222,0.8430555555555558,0.41875,0.39861111111111125,0.17416666666666666,0.36666666666666653,0.06000000000000002
0,18,KGC인삼공사,17.015151515151516,0.8390909090909091,0.3895454545454545,0.3472727272727273,0.12893939393939394,0.31242424242424244,0.04378787878787879
0,19,한국도로공사,19.287878787878785,0.8568181818181819,0.5121212121212121,0.3940909090909091,0.1522727272727273,0.3656060606060606,0.04863636363636364
0,20,GS칼텍스,19.845238095238095,0.833809523809524,0.43630952380952387,0.39714285714285713,0.11535714285714285,0.3707142857142857,0.05273809523809524
0,21,IBK기업은행,18.46428571428572,0.8534523809523806,0.4110714285714286,0.39761904761904754,0.13452380952380955,0.3725,0.058928571428571434
0,22,한국도로공사,18.802083333333332,0.8540625,0.5086458333333334,0.39375,0.13822916666666665,0.36687499999999995,0.05364583333333334
0,23,흥국생명,19.927083333333332,0.8426041666666666,0.4374999999999999,0.33895833333333336,0.11270833333333331,0.31583333333333324,0.05489583333333332
0,24,GS칼텍스,19.76923076923077,0.833846153846154,0.4393589743589744,0.3964102564102564,0.11089743589743588,0.37064102564102563,0.051153846153846154
0,25,흥국생명,19.96153846153846,0.8407692307692307,0.43512820512820505,0.3374358974358974,0.1114102564102564,0.31307692307692303,0.05576923076923076
0,26,한국도로공사,19.2051282051282,0.8571794871794872,0.5092307692307693,0.3942307692307692,0.14282051282051283,0.36615384615384616,0.0508974358974359
0,27,현대건설,17.256410256410255,0.8429487179487182,0.422051282051282,0.39179487179487194,0.1696153846153846,0.3603846153846153,0.059487179487179506
0,28,IBK기업은행,18.61728395061729,0.8534567901234565,0.4104938271604939,0.3972839506172839,0.13469135802469137,0.3719753086419753,0.05925925925925926
0,29,KGC인삼공사,17.629629629629626,0.8380246913580246,0.3972839506172839,0.3420987654320988,0.128641975308642,0.3085185185185185,0.04271604938271606
1,30,GS칼텍스,20.01388888888889,0.8355555555555557,0.4391666666666667,0.3949999999999999,0.1061111111111111,0.36902777777777773,0.05125
1,31,현대건설,16.972222222222218,0.8430555555555557,0.41875,0.3986111111111112,0.17416666666666664,0.3666666666666666,0.06000000000000002
1,32,한국도로공사,18.802083333333332,0.8540625,0.5086458333333335,0.39374999999999993,0.13822916666666665,0.3668749999999999,0.05364583333333334
1,33,흥국생명,19.92708333333333,0.8426041666666666,0.4374999999999999,0.33895833333333336,0.1127083333333333,0.3158333333333333,0.05489583333333331
1,34,IBK기업은행,18.61728395061729,0.8534567901234565,0.41049382716049393,0.39728395061728383,0.1346913580246914,0.37197530864197537,0.059259259259259255
1,35,KGC인삼공사,17.62962962962963,0.8380246913580246,0.39728395061728394,0.34209876543209866,0.128641975308642,0.3085185185185185,0.04271604938271605
1,36,GS칼텍스,19.76923076923077,0.833846153846154,0.4393589743589744,0.3964102564102564,0.11089743589743588,0.37064102564102575,0.05115384615384615
1,37,흥국생명,19.961538461538456,0.8407692307692307,0.4351282051282051,0.33743589743589736,0.11141025641025638,0.31307692307692314,0.05576923076923075
