,index,팀명,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯
0,0,대한항공,24.804519774011293,0.7400338983050847,0.47096045197740105,0.5317853107344634,0.191536723163842,0.5059661016949154,0.06680225988700558
0,1,현대캐피탈,22.62196531791907,0.7401271676300577,0.47719075144508655,0.520612716763006,0.2015606936416186,0.4849710982658961,0.05143352601156063
0,2,KB손해보험,23.534939759036142,0.7350722891566263,0.413867469879518,0.5099518072289156,0.16810843373493972,0.47951807228915666,0.06383132530120474
0,3,삼성화재,22.909638554216873,0.7421566265060244,0.42389156626506047,0.5206867469879518,0.1819759036144579,0.48457831325301176,0.049132530120481924
0,4,OK금융그룹,23.732934131736524,0.7474610778443114,0.4261437125748501,0.5161556886227547,0.1896167664670658,0.48148502994011994,0.0652335329341317
0,5,한국전력,20.785276073619627,0.739141104294479,0.43693251533742306,0.4787484662576685,0.17715337423312882,0.4490061349693255,0.048895705521472356
1,6,KB손해보험,23.534939759036142,0.7350722891566263,0.413867469879518,0.5099518072289156,0.16810843373493975,0.47951807228915666,0.06383132530120472
1,7,현대캐피탈,22.621965317919074,0.7401271676300578,0.4771907514450866,0.5206127167630061,0.20156069364161855,0.48497109826589613,0.05143352601156062
1,8,대한항공,24.804519774011293,0.7400338983050847,0.470960451977401,0.5317853107344634,0.191536723163842,0.5059661016949154,0.06680225988700558
0,9,우리카드,20.041618497109823,0.7439537572254331,0.4308323699421968,0.5214104046242775,0.17927167630057803,0.4953410404624278,0.05594219653179183
1,10,OK금융그룹,23.732934131736524,0.7474610778443114,0.42614371257485006,0.5161556886227547,0.18961676646706582,0.4814850299401198,0.0652335329341317
1,11,삼성화재,22.909638554216873,0.7421566265060245,0.42389156626506047,0.5206867469879518,0.1819759036144579,0.48457831325301176,0.049132530120481924
2,12,KB손해보험,23.534939759036142,0.7350722891566261,0.413867469879518,0.5099518072289158,0.16810843373493975,0.47951807228915666,0.06383132530120472
1,13,한국전력,20.785276073619627,0.7391411042944791,0.436932515337423,0.4787484662576685,0.17715337423312882,0.4490061349693254,0.04889570552147236
1,14,우리카드,20.041618497109823,0.7439537572254332,0.4308323699421967,0.5214104046242775,0.17927167630057803,0.49534104046242783,0.05594219653179184
2,15,현대캐피탈,22.62196531791907,0.7401271676300577,0.4771907514450866,0.5206127167630059,0.2015606936416186,0.4849710982658961,0.05143352601156062
2,16,OK금융그룹,23.732934131736524,0.7474610778443114,0.42614371257485,0.5161556886227547,0.18961676646706585,0.4814850299401198,0.0652335329341317
2,17,대한항공,24.804519774011297,0.7400338983050846,0.4709604519774011,0.5317853107344634,0.19153672316384193,0.5059661016949154,0.0668022598870056
2,18,삼성화재,22.909638554216876,0.7421566265060244,0.4238915662650604,0.5206867469879518,0.18197590361445792,0.48457831325301176,0.049132530120481924
2,19,우리카드,20.041618497109823,0.7439537572254333,0.4308323699421968,0.5214104046242775,0.17927167630057803,0.4953410404624278,0.05594219653179184
2,20,한국전력,20.785276073619627,0.739141104294479,0.436932515337423,0.4787484662576685,0.17715337423312882,0.4490061349693254,0.04889570552147236
3,21,현대캐피탈,22.62196531791907,0.7401271676300578,0.47719075144508666,0.520612716763006,0.20156069364161858,0.484971098265896,0.051433526011560614
3,22,OK금융그룹,23.732934131736524,0.7474610778443114,0.42614371257484995,0.5161556886227547,0.18961676646706585,0.4814850299401198,0.0652335329341317
3,23,우리카드,20.041618497109823,0.7439537572254331,0.4308323699421967,0.5214104046242775,0.17927167630057803,0.49534104046242783,0.055942196531791846
3,24,KB손해보험,23.53493975903614,0.7350722891566263,0.413867469879518,0.5099518072289158,0.16810843373493972,0.4795180722891567,0.06383132530120474
3,25,대한항공,24.804519774011297,0.7400338983050846,0.47096045197740105,0.5317853107344633,0.19153672316384196,0.5059661016949154,0.0668022598870056
3,26,삼성화재,22.909638554216876,0.7421566265060244,0.42389156626506047,0.5206867469879517,0.18197590361445792,0.48457831325301176,0.049132530120481924
3,27,한국전력,20.785276073619627,0.7391411042944791,0.43693251533742294,0.4787484662576685,0.17715337423312882,0.44900613496932545,0.04889570552147235
4,28,OK금융그룹,23.732934131736524,0.7474610778443113,0.4261437125748499,0.5161556886227546,0.18961676646706588,0.48148502994011977,0.06523353293413169
4,29,현대캐피탈,22.62196531791907,0.7401271676300578,0.4771907514450866,0.520612716763006,0.20156069364161863,0.484971098265896,0.051433526011560614
4,30,KB손해보험,23.53493975903614,0.7350722891566261,0.413867469879518,0.5099518072289159,0.16810843373493972,0.47951807228915677,0.06383132530120474
4,31,우리카드,20.041618497109823,0.7439537572254332,0.43083236994219676,0.5214104046242775,0.17927167630057803,0.49534104046242783,0.055942196531791846
4,32,대한항공,24.804519774011293,0.7400338983050846,0.4709604519774011,0.5317853107344633,0.19153672316384196,0.5059661016949155,0.0668022598870056
4,33,한국전력,20.785276073619627,0.7391411042944791,0.436932515337423,0.4787484662576685,0.17715337423312882,0.44900613496932545,0.04889570552147235
4,34,삼성화재,22.909638554216876,0.7421566265060244,0.42389156626506047,0.5206867469879517,0.18197590361445792,0.48457831325301176,0.049132530120481924
5,35,현대캐피탈,22.0,0.744,0.49800000000000005,0.466,0.168,0.364,0.041999999999999996
5,36,KB손해보험,24.8,0.804,0.454,0.502,0.16799999999999998,0.4779999999999999,0.096
5,37,OK금융그룹,25.4,0.7700000000000001,0.5279999999999999,0.48200000000000004,0.22199999999999998,0.462,0.06799999999999999
5,38,우리카드,28.0,0.76,0.47999999999999987,0.5519999999999999,0.158,0.51,0.06000000000000001
5,39,한국전력,25.2,0.7699999999999999,0.532,0.43199999999999994,0.20999999999999996,0.392,0.06399999999999999
5,40,대한항공,26.0,0.744,0.528,0.504,0.15200000000000002,0.49800000000000005,0.052000000000000005
5,41,삼성화재,23.8,0.792,0.5439999999999999,0.542,0.22400000000000003,0.51,0.05
6,42,KB손해보험,24.0,0.8240000000000001,0.47000000000000003,0.5,0.19,0.47400000000000003,0.09
6,43,OK금융그룹,23.0,0.756,0.5159999999999999,0.46799999999999997,0.21000000000000002,0.442,0.07200000000000001
6,44,우리카드,31.4,0.776,0.49000000000000005,0.562,0.16,0.524,0.066
6,45,한국전력,24.2,0.7779999999999999,0.532,0.446,0.23200000000000004,0.406,0.062
6,46,대한항공,21.4,0.7299999999999999,0.526,0.49800000000000005,0.162,0.48200000000000004,0.048
6,47,삼성화재,20.8,0.806,0.5820000000000001,0.536,0.238,0.5,0.05600000000000001
7,48,OK금융그룹,25.2,0.742,0.4779999999999999,0.492,0.2,0.466,0.068
6,49,현대캐피탈,21.6,0.764,0.524,0.44800000000000006,0.166,0.348,0.05
7,50,KB손해보험,26.0,0.7959999999999999,0.47000000000000003,0.492,0.182,0.46799999999999997,0.094
7,51,우리카드,31.0,0.79,0.504,0.556,0.16800000000000004,0.522,0.07400000000000001
7,52,대한항공,23.4,0.72,0.518,0.48599999999999993,0.154,0.466,0.044000000000000004
7,53,한국전력,24.4,0.7639999999999999,0.518,0.42800000000000005,0.22800000000000004,0.388,0.042
7,54,삼성화재,20.2,0.79,0.59,0.556,0.248,0.516,0.05600000000000001
7,55,현대캐피탈,22.6,0.746,0.538,0.49000000000000005,0.196,0.38,0.054000000000000006
8,56,OK금융그룹,25.4,0.7260000000000001,0.49000000000000005,0.49000000000000005,0.182,0.466,0.064
8,57,우리카드,32.2,0.8019999999999999,0.47400000000000003,0.538,0.13399999999999998,0.496,0.078
8,58,KB손해보험,28.0,0.8099999999999999,0.47000000000000003,0.506,0.20600000000000002,0.476,0.092
8,59,대한항공,21.2,0.748,0.534,0.4779999999999999,0.16999999999999998,0.45199999999999996,0.04
8,60,삼성화재,19.2,0.8280000000000001,0.58,0.55,0.244,0.508,0.046000000000000006
8,61,한국전력,24.4,0.758,0.49399999999999994,0.404,0.16999999999999998,0.364,0.046
9,62,우리카드,31.2,0.784,0.5,0.528,0.134,0.484,0.06400000000000002
8,63,현대캐피탈,20.0,0.758,0.538,0.496,0.20600000000000002,0.32799999999999996,0.06000000000000001
9,64,OK금융그룹,27.0,0.732,0.502,0.48999999999999994,0.184,0.4680000000000001,0.05600000000000001
9,65,대한항공,22.6,0.752,0.526,0.4779999999999999,0.16799999999999998,0.44400000000000006,0.05
9,66,KB손해보험,31.2,0.812,0.45999999999999996,0.508,0.20400000000000001,0.472,0.07200000000000001
9,67,삼성화재,20.8,0.8119999999999999,0.58,0.5700000000000001,0.21200000000000002,0.532,0.054000000000000006
9,68,한국전력,23.2,0.734,0.51,0.426,0.142,0.4,0.046
9,69,현대캐피탈,20.8,0.744,0.532,0.534,0.21799999999999997,0.438,0.064
10,70,대한항공,19.4,0.718,0.5199999999999999,0.484,0.166,0.44799999999999995,0.05800000000000001
10,71,우리카드,29.6,0.754,0.5,0.524,0.12400000000000003,0.4779999999999999,0.05
10,72,OK금융그룹,29.4,0.732,0.47000000000000003,0.5159999999999999,0.16399999999999998,0.49000000000000005,0.062
10,73,삼성화재,21.4,0.776,0.55,0.584,0.20600000000000002,0.538,0.046
10,74,KB손해보험,31.6,0.7899999999999999,0.47400000000000003,0.506,0.21400000000000002,0.47400000000000003,0.07200000000000001
10,75,한국전력,20.0,0.74,0.532,0.442,0.134,0.406,0.054000000000000006
11,76,대한항공,22.4,0.728,0.51,0.476,0.194,0.4539999999999999,0.078
10,77,현대캐피탈,20.4,0.74,0.55,0.532,0.262,0.446,0.06
11,78,삼성화재,21.0,0.76,0.53,0.608,0.202,0.5680000000000001,0.048
11,79,우리카드,25.8,0.724,0.48199999999999993,0.514,0.158,0.4720000000000001,0.036000000000000004
11,80,OK금융그룹,27.0,0.726,0.458,0.518,0.164,0.44800000000000006,0.062
11,81,한국전력,21.4,0.748,0.49799999999999994,0.44399999999999995,0.12999999999999998,0.40800000000000003,0.05600000000000001
11,82,KB손해보험,29.6,0.74,0.44400000000000006,0.5039999999999999,0.20600000000000002,0.466,0.07200000000000001
11,83,현대캐피탈,22.4,0.744,0.492,0.532,0.26399999999999996,0.458,0.054000000000000006
12,84,대한항공,22.6,0.772,0.49000000000000005,0.476,0.178,0.458,0.08399999999999999
12,85,삼성화재,20.6,0.756,0.534,0.6180000000000001,0.198,0.5820000000000001,0.046
12,86,우리카드,23.2,0.692,0.472,0.5200000000000001,0.148,0.47400000000000003,0.03
12,87,한국전력,19.4,0.7540000000000001,0.49399999999999994,0.5,0.13799999999999998,0.4600000000000001,0.064
12,88,KB손해보험,26.8,0.748,0.422,0.514,0.19,0.4699999999999999,0.07
12,89,OK금융그룹,23.6,0.674,0.454,0.5199999999999999,0.14999999999999997,0.40199999999999997,0.06
13,90,삼성화재,21.0,0.72,0.524,0.608,0.21000000000000002,0.568,0.052000000000000005
12,91,현대캐피탈,20.6,0.772,0.48,0.546,0.24,0.476,0.064
13,92,대한항공,26.0,0.738,0.4779999999999999,0.476,0.18,0.458,0.088
13,93,한국전력,20.2,0.7240000000000001,0.502,0.53,0.176,0.49800000000000005,0.06
13,94,KB손해보험,26.6,0.724,0.39799999999999996,0.532,0.19,0.49399999999999994,0.068
13,95,우리카드,23.4,0.682,0.49000000000000005,0.538,0.16,0.49800000000000005,0.026000000000000002
13,96,OK금융그룹,25.4,0.696,0.44000000000000006,0.5199999999999999,0.158,0.4,0.06999999999999999
13,97,현대캐피탈,21.2,0.754,0.496,0.568,0.288,0.554,0.062
14,98,삼성화재,20.2,0.712,0.492,0.5720000000000001,0.21199999999999997,0.536,0.042
14,99,한국전력,22.2,0.7540000000000001,0.476,0.5039999999999999,0.18,0.4659999999999999,0.06
14,100,KB손해보험,23.6,0.734,0.43600000000000005,0.55,0.21000000000000002,0.534,0.1
14,101,대한항공,28.0,0.748,0.45599999999999996,0.484,0.186,0.4619999999999999,0.086
14,102,OK금융그룹,26.8,0.712,0.446,0.52,0.16,0.4,0.07
14,103,우리카드,20.0,0.682,0.4760000000000001,0.526,0.152,0.49399999999999994,0.034
15,104,한국전력,22.6,0.756,0.45600000000000007,0.522,0.2,0.5,0.055999999999999994
14,105,현대캐피탈,22.2,0.758,0.46799999999999997,0.528,0.296,0.514,0.064
15,106,KB손해보험,22.6,0.7240000000000001,0.4,0.554,0.21600000000000003,0.532,0.1
15,107,삼성화재,19.2,0.718,0.51,0.554,0.20800000000000002,0.53,0.04
15,108,OK금융그룹,24.4,0.732,0.45999999999999996,0.496,0.18600000000000003,0.39,0.068
15,109,대한항공,28.0,0.772,0.438,0.51,0.176,0.48999999999999994,0.09
15,110,우리카드,17.0,0.702,0.462,0.5399999999999999,0.18,0.512,0.042
15,111,현대캐피탈,22.4,0.78,0.4640000000000001,0.544,0.25,0.51,0.066
16,112,KB손해보험,21.8,0.7300000000000001,0.41,0.538,0.21399999999999997,0.522,0.098
16,113,한국전력,21.4,0.752,0.44399999999999995,0.48600000000000004,0.182,0.466,0.041999999999999996
16,114,OK금융그룹,27.8,0.744,0.492,0.496,0.182,0.446,0.062
16,115,삼성화재,23.2,0.734,0.49399999999999994,0.54,0.22200000000000003,0.5159999999999999,0.042
16,116,대한항공,30.4,0.756,0.44399999999999995,0.538,0.16599999999999998,0.51,0.07
