index,경기번호,경기날짜,팀명,홈_어웨이,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,서브_시도,서브_성공,서브_범실,서브_성공률,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,세트_시도,세트_성공,세트_범실,세트_세트당,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_어시스트,벌칙_벌칙,범실_범실,득점점유율,스타팅멤버,팀코드,디그_성공률,세트_성공률,리시브_정확도,블로킹_성공률,총_점수,실점,상대팀
351,176,2018-12-01,현대캐피탈,0,1,63,74,36,6,7,0.49,23,7,3,3,0.3,5,4,1,0,0.8,0,0,0,0,0.0,12,4,0,0,0.33,20,12,2,2,0.6,14,9,0,2,0.64,78,8,15,0.1,33,24,8,1,7.08,74,35,1,8.83,39,25,2,131.7,53,19,7,19,0,5.33,15,0,24,0.9999999999999996,6,1,0.73,0.47,0.64,0.36,93,83,한국전력
352,177,2018-12-02,삼성화재,1,0,63,104,53,9,10,0.51,42,20,4,4,0.48,0,0,0,0,0.0,0,0,0,0,0.0,29,17,3,0,0.59,10,3,1,2,0.3,23,13,1,4,0.57,86,3,14,0.03,50,42,8,0,10.5,106,51,0,12.75,77,42,8,217.31,44,7,13,21,1,1.75,6,0,25,0.9999999999999998,6,3,0.84,0.48,0.55,0.16,91,91,우리카드
353,177,2018-12-02,우리카드,0,1,64,102,47,7,15,0.46,32,13,5,4,0.41,0,0,0,0,0.0,0,0,0,0,0.0,26,13,1,5,0.5,11,4,0,2,0.36,33,17,1,4,0.52,90,8,11,0.09,52,37,15,0,9.25,104,47,1,11.75,76,29,3,196.67,54,9,13,23,0,2.25,7,0,27,1.0,6,6,0.71,0.45,0.38,0.17,91,91,삼성화재
354,178,2018-12-03,KB손해보험,1,0,65,106,48,13,8,0.45,42,15,8,3,0.36,2,1,0,1,0.5,0,0,0,0,0.0,32,17,3,2,0.53,9,3,0,0,0.33,21,12,2,2,0.57,84,5,18,0.06,46,30,16,0,7.75,109,47,1,11.83,80,34,1,120.0,46,12,10,17,1,3.0,8,0,28,0.9999999999999996,6,2,0.65,0.43,0.42,0.26,94,103,대한항공
355,178,2018-12-03,대한항공,0,1,74,109,59,12,11,0.54,47,20,4,6,0.43,1,0,1,0,0.0,0,0,0,0,0.0,20,14,2,1,0.7,18,13,2,1,0.72,23,12,3,3,0.52,98,2,16,0.02,54,41,13,0,10.25,110,56,0,14.0,76,34,5,113.88,64,13,16,27,0,3.25,11,0,27,0.9999999999999998,6,0,0.76,0.51,0.45,0.2,103,94,KB손해보험
356,179,2018-12-04,OK저축은행,1,0,32,59,23,6,8,0.39,30,13,2,4,0.43,4,2,1,0,0.5,0,0,0,0,0.0,14,4,2,4,0.29,4,1,0,0,0.25,7,3,1,0,0.43,46,6,7,0.13,25,16,9,0,5.33,73,27,3,9.0,53,17,3,108.06,25,3,4,10,0,0.99,3,0,18,1.0,5,4,0.64,0.37,0.32,0.12,63,75,현대캐피탈
357,179,2018-12-04,현대캐피탈,0,1,54,76,42,4,8,0.55,30,14,3,4,0.47,1,0,0,0,0.0,0,0,0,0,0.0,21,12,1,2,0.57,12,8,0,1,0.67,12,8,0,1,0.67,71,4,12,0.06,41,31,10,0,10.33,75,39,1,13.0,57,23,6,96.35,27,8,5,9,2,2.66,9,0,23,0.9999999999999998,6,1,0.76,0.52,0.4,0.3,75,63,OK저축은행
358,180,2018-12-06,대한항공,1,0,67,120,51,11,13,0.42,41,15,4,5,0.37,3,2,0,0,0.67,0,0,0,0,0.0,21,5,5,3,0.24,19,10,0,1,0.53,36,19,2,4,0.53,91,3,9,0.03,69,52,16,1,13.0,118,47,2,11.83,75,37,6,121.47,50,13,10,20,2,3.83,13,0,27,0.9999999999999996,6,0,0.75,0.4,0.49,0.26,92,92,삼성화재
359,180,2018-12-06,삼성화재,0,1,65,109,48,14,9,0.44,52,22,5,7,0.42,3,3,0,0,1.0,0,0,0,0,0.0,31,12,8,1,0.39,9,4,0,1,0.44,14,7,1,0,0.5,89,6,15,0.07,46,41,5,0,10.25,106,45,0,11.25,84,40,3,148.57999999999998,67,11,19,27,0,2.75,9,0,24,0.9999999999999998,6,3,0.89,0.42,0.48,0.16,92,92,대한항공
360,181,2018-12-07,OK저축은행,0,1,51,44,33,1,3,0.75,19,11,1,2,0.58,3,3,0,0,1.0,0,0,0,0,0.0,8,8,0,0,1.0,3,3,0,0,1.0,11,8,0,1,0.73,58,7,14,0.12,26,22,4,0,7.34,57,37,1,12.33,36,23,4,248.49,27,11,2,9,2,3.67,5,0,20,1.0,4,4,0.85,0.65,0.64,0.41,75,50,한국전력
361,181,2018-12-07,한국전력,1,0,28,58,21,11,6,0.36,30,9,6,3,0.3,1,1,0,0,1.0,0,0,0,0,0.0,9,4,1,1,0.44,7,4,0,1,0.57,11,3,4,1,0.27,42,4,7,0.1,16,12,3,1,3.99,56,18,0,6.0,48,11,6,142.22,24,3,3,12,0,0.99,2,0,14,0.9999999999999996,6,5,0.75,0.32,0.23,0.12,50,75,OK저축은행
362,182,2018-12-08,KB손해보험,0,0,36,62,32,8,4,0.52,27,12,4,3,0.44,0,0,0,0,0.0,0,0,0,0,0.0,22,13,2,1,0.59,4,1,1,0,0.25,9,6,1,0,0.67,44,1,12,0.02,28,23,5,0,7.67,73,34,0,11.33,52,18,5,167.07,28,3,8,11,0,0.99,2,0,16,1.0,4,2,0.82,0.47,0.35,0.11,57,75,현대캐피탈
363,182,2018-12-08,현대캐피탈,1,1,54,66,39,3,5,0.59,25,12,1,4,0.48,0,0,0,0,0.0,0,0,0,0,0.0,21,13,1,1,0.62,11,7,1,0,0.64,9,7,0,0,0.78,70,6,11,0.09,40,29,11,0,9.65,65,36,1,12.0,40,20,3,143.34,38,9,11,15,0,2.99,7,0,17,0.9999999999999996,6,1,0.72,0.55,0.5,0.24,75,57,KB손해보험
364,183,2018-12-09,대한항공,0,1,75,117,61,10,7,0.52,27,11,4,1,0.41,1,1,0,0,1.0,0,0,0,0,0.0,36,16,3,3,0.44,19,15,0,0,0.79,34,18,3,3,0.53,99,3,13,0.03,61,45,16,0,9.58,121,59,0,11.8,87,45,1,153.89,57,11,12,27,0,2.4,9,0,20,0.9999999999999998,6,0,0.74,0.49,0.52,0.19,102,98,우리카드
365,183,2018-12-09,우리카드,1,0,74,119,63,10,12,0.53,47,21,4,2,0.45,1,1,0,0,1.0,0,0,0,0,0.0,31,19,2,5,0.61,10,5,2,1,0.5,30,17,2,4,0.57,93,1,12,0.01,62,44,18,0,8.98,121,59,1,12.07,82,35,3,233.88,63,10,20,24,0,2.0,7,0,25,1.0,6,6,0.71,0.49,0.43,0.16,98,102,대한항공
366,184,2018-12-10,삼성화재,1,1,72,106,57,7,7,0.54,51,29,4,3,0.57,5,3,0,1,0.6,0,0,0,0,0.0,25,16,2,2,0.64,10,4,1,0,0.4,15,5,0,1,0.33,91,2,14,0.02,50,34,16,0,8.5,113,55,4,13.91,85,44,4,128.93,70,13,12,25,3,3.58,13,0,28,1.0,6,3,0.68,0.49,0.52,0.19,101,100,한국전력
367,184,2018-12-10,한국전력,0,0,67,119,58,12,7,0.49,34,11,4,3,0.32,5,3,1,0,0.6,0,0,0,0,0.0,32,15,4,4,0.47,18,12,0,0,0.67,30,17,3,0,0.57,85,4,11,0.05,62,46,14,2,11.92,125,59,0,14.83,74,36,2,177.11,53,5,19,20,2,1.25,6,0,22,0.9999999999999996,5,5,0.74,0.47,0.49,0.09,100,101,삼성화재
368,185,2018-12-11,KB손해보험,0,1,66,96,52,7,6,0.54,35,13,5,3,0.37,1,0,0,0,0.0,0,0,0,0,0.0,31,22,1,2,0.71,13,7,0,0,0.54,16,10,1,1,0.62,99,5,19,0.05,46,35,11,0,8.75,96,51,1,12.75,72,29,7,90.59,51,9,15,21,1,2.25,5,0,27,0.9999999999999998,6,2,0.76,0.53,0.4,0.18,107,103,OK저축은행
369,185,2018-12-11,OK저축은행,1,0,61,91,51,5,9,0.56,37,16,5,5,0.43,2,0,0,1,0.0,0,0,0,0,0.0,26,17,0,3,0.65,6,4,0,0,0.67,20,14,0,0,0.7,69,5,23,0.07,36,30,6,0,8.41,77,40,2,12.83,68,33,5,205.55,35,5,7,14,0,1.33,5,0,34,0.9999999999999998,4,4,0.83,0.52,0.49,0.14,103,107,KB손해보험
370,186,2018-12-13,대한항공,1,1,69,100,52,8,8,0.52,44,20,4,4,0.45,4,2,0,0,0.5,0,0,0,0,0.0,23,10,4,3,0.43,13,8,0,1,0.62,16,12,0,0,0.75,88,6,15,0.07,60,48,12,0,12.17,110,51,3,12.75,78,33,6,187.94,53,11,11,22,1,2.92,6,0,27,0.9999999999999998,6,0,0.8,0.46,0.42,0.21,94,90,현대캐피탈
371,186,2018-12-13,현대캐피탈,0,0,59,99,46,10,7,0.46,34,14,3,3,0.41,1,0,0,0,0.0,0,0,0,0,0.0,27,14,4,1,0.52,20,6,2,1,0.3,17,12,1,2,0.71,84,4,12,0.05,53,41,12,0,10.25,102,42,1,10.5,75,29,6,142.73,54,9,12,23,1,2.25,9,0,21,1.0,6,1,0.77,0.41,0.39,0.17,90,94,대한항공
372,187,2018-12-14,우리카드,0,1,88,124,66,10,10,0.53,51,18,6,5,0.35,5,3,0,0,0.6,0,0,0,0,0.0,27,18,2,3,0.67,13,10,0,1,0.77,28,17,2,1,0.61,109,2,9,0.02,51,38,13,0,7.6,125,64,0,12.8,90,43,4,124.25,91,20,14,34,5,4.27,17,0,24,0.9999999999999996,6,6,0.75,0.51,0.48,0.22,117,110,한국전력
373,187,2018-12-14,한국전력,1,0,84,156,69,20,12,0.44,67,28,9,6,0.42,4,1,0,0,0.25,0,0,0,0,0.0,34,20,4,2,0.59,19,8,2,3,0.42,32,12,5,1,0.38,108,5,15,0.05,83,59,23,1,11.98,158,69,0,13.8,106,57,2,158.04,54,10,24,17,0,2.1,10,0,28,0.9999999999999996,6,5,0.71,0.44,0.54,0.19,110,117,우리카드
374,188,2018-12-15,KB손해보험,1,0,70,113,54,16,6,0.48,29,10,4,2,0.34,1,0,0,0,0.0,0,0,0,0,0.0,46,25,6,3,0.54,12,6,2,0,0.5,25,13,4,1,0.52,89,7,11,0.08,50,34,16,0,8.33,119,54,3,10.85,95,47,3,326.13,47,9,12,24,0,1.85,9,0,20,0.9999999999999996,6,2,0.68,0.45,0.49,0.19,99,113,삼성화재
375,188,2018-12-15,삼성화재,0,1,83,100,63,10,8,0.63,40,26,4,4,0.65,6,5,0,0,0.83,1,1,0,0,1.0,25,10,4,3,0.4,14,11,1,0,0.79,14,10,1,1,0.71,105,3,15,0.03,45,34,11,0,6.800000000000001,106,64,0,12.8,80,39,6,208.78,68,17,11,28,0,3.4,14,0,23,1.0,6,3,0.76,0.6,0.49,0.25,113,99,KB손해보험
376,189,2018-12-16,OK저축은행,0,1,63,85,48,7,7,0.56,22,13,3,2,0.59,5,2,0,1,0.4,0,0,0,0,0.0,30,19,2,2,0.63,7,3,0,0,0.43,21,11,2,2,0.52,85,7,20,0.08,35,27,8,0,6.75,90,48,2,12.08,69,30,6,240.31,35,8,6,13,0,2.0,6,0,29,0.9999999999999996,6,4,0.77,0.53,0.43,0.23,96,93,대한항공
377,189,2018-12-16,대한항공,1,0,60,84,46,8,10,0.55,21,12,2,2,0.57,1,0,0,0,0.0,0,0,0,0,0.0,21,8,3,6,0.38,11,6,0,1,0.55,30,20,3,1,0.67,80,7,18,0.09,41,26,15,0,6.5,86,46,1,11.5,74,35,7,110.89,42,7,10,14,1,1.75,4,0,30,1.0,6,0,0.63,0.53,0.47,0.17,93,96,OK저축은행
378,190,2018-12-17,우리카드,0,0,29,68,24,14,12,0.35,30,9,7,5,0.3,0,0,0,0,0.0,0,0,0,0,0.0,12,3,2,5,0.25,4,1,2,0,0.25,22,11,3,2,0.5,47,5,9,0.11,31,23,8,0,7.67,73,24,0,7.99,61,26,4,130.24,17,0,4,10,0,0.0,0,0,21,1.0,6,6,0.74,0.33,0.43,0.0,46,75,현대캐피탈
379,190,2018-12-17,현대캐피탈,1,1,53,53,35,0,4,0.66,18,9,0,2,0.5,1,1,0,0,1.0,0,0,0,0,0.0,17,11,0,2,0.65,8,7,0,0,0.88,9,7,0,0,0.78,74,4,13,0.05,31,23,8,0,7.66,54,35,0,11.66,37,22,5,146.82,40,14,8,12,0,4.66,11,0,17,0.9999999999999996,6,1,0.74,0.65,0.59,0.35,75,46,우리카드
380,191,2018-12-18,KB손해보험,0,0,71,124,59,8,14,0.48,46,20,2,4,0.43,4,2,0,0,0.5,0,0,0,0,0.0,39,17,3,7,0.44,8,5,0,0,0.62,27,15,3,3,0.56,88,1,14,0.01,60,47,13,0,9.87,134,62,1,12.77,95,57,6,312.33,69,11,18,29,0,2.45,12,0,29,0.9999999999999998,6,2,0.78,0.46,0.6,0.16,100,112,한국전력
381,191,2018-12-18,한국전력,1,1,80,128,65,11,7,0.51,35,17,4,3,0.49,2,1,1,0,0.5,0,0,0,0,0.0,27,9,1,3,0.33,17,9,0,1,0.53,47,29,5,0,0.62,108,6,10,0.06,72,51,21,0,10.33,126,63,2,12.6,82,57,2,479.81,65,9,25,23,0,1.8,5,0,19,1.0,6,5,0.71,0.5,0.7,0.14,112,100,KB손해보험
382,192,2018-12-20,OK저축은행,1,1,71,109,54,10,7,0.5,41,21,2,1,0.51,2,1,0,0,0.5,0,0,0,0,0.0,36,17,6,2,0.47,16,8,0,2,0.5,14,7,2,2,0.5,90,9,19,0.1,52,43,9,0,8.950000000000001,119,58,1,11.65,83,33,6,141.79,41,8,10,17,1,1.65,8,0,28,0.9999999999999996,6,4,0.83,0.49,0.4,0.2,105,101,우리카드
383,192,2018-12-20,우리카드,0,0,67,100,49,8,8,0.49,43,16,4,4,0.37,0,0,0,0,0.0,0,0,0,0,0.0,22,9,2,4,0.41,11,6,0,0,0.55,24,18,2,0,0.75,96,6,9,0.06,48,37,11,0,7.75,96,44,3,8.799999999999999,71,26,7,190.62,57,12,16,21,1,2.5,10,0,21,0.9999999999999996,6,6,0.77,0.46,0.37,0.21,101,105,OK저축은행
384,193,2018-12-21,삼성화재,0,0,67,106,54,10,9,0.51,45,21,6,5,0.47,3,2,1,0,0.67,0,0,0,0,0.0,31,17,2,3,0.55,16,8,0,1,0.5,11,6,1,0,0.55,93,5,16,0.05,54,42,11,1,10.58,107,51,1,12.92,80,37,6,207.13,49,8,13,22,1,2.0,8,0,28,0.9999999999999998,6,3,0.78,0.48,0.46,0.16,99,101,현대캐피탈
385,193,2018-12-21,현대캐피탈,1,1,71,102,54,8,7,0.53,43,24,2,3,0.56,0,0,0,0,0.0,0,0,0,0,0.0,21,10,2,3,0.48,16,9,1,0,0.56,22,11,3,1,0.5,96,7,19,0.07,44,31,12,1,8.17,106,50,1,13.75,76,39,4,92.74,52,10,9,22,2,2.5,7,0,30,0.9999999999999996,6,1,0.7,0.47,0.51,0.19,101,99,삼성화재
386,194,2018-12-22,대한항공,1,1,74,102,58,8,10,0.57,24,9,1,5,0.38,3,2,1,0,0.67,0,0,0,0,0.0,24,12,3,1,0.5,15,10,1,3,0.67,36,25,2,1,0.69,88,8,15,0.09,51,41,10,0,10.25,101,56,1,14.5,64,42,2,195.22,39,8,10,13,4,2.08,7,0,30,0.9999999999999998,6,0,0.8,0.55,0.66,0.21,97,74,한국전력
387,194,2018-12-22,한국전력,0,0,42,83,32,7,6,0.39,34,8,5,1,0.24,0,0,0,0,0.0,0,0,0,0,0.0,17,4,1,3,0.24,12,8,1,1,0.67,20,12,0,1,0.6,71,2,8,0.03,35,25,9,1,6.58,87,31,0,7.75,75,27,8,108.46,42,8,8,20,0,2.08,7,0,15,0.9999999999999996,6,5,0.71,0.36,0.36,0.19,74,97,대한항공
388,195,2018-12-23,KB손해보험,1,0,58,107,44,14,4,0.41,41,15,5,2,0.37,4,2,1,0,0.5,0,0,0,0,0.0,37,16,4,2,0.43,9,4,0,0,0.44,16,7,4,0,0.44,77,9,11,0.12,49,39,10,0,10.0,113,43,1,10.75,80,32,5,125.81,45,5,15,18,2,1.25,5,0,18,1.0,6,2,0.8,0.38,0.4,0.11,81,96,우리카드
389,195,2018-12-23,우리카드,0,1,75,96,54,5,5,0.56,50,30,1,4,0.6,2,2,0,0,1.0,0,0,0,0,0.0,21,11,2,1,0.52,10,4,0,0,0.4,13,7,2,0,0.54,93,6,10,0.06,56,43,13,0,10.75,93,48,4,12.0,68,20,10,72.96,62,15,19,16,2,3.75,12,0,21,0.9999999999999998,6,6,0.77,0.52,0.29,0.24,96,81,KB손해보험
390,196,2018-12-24,OK저축은행,0,0,42,63,35,5,8,0.56,18,9,2,2,0.5,2,0,0,1,0.0,0,0,0,0,0.0,23,16,1,3,0.7,4,1,0,1,0.25,16,9,2,1,0.56,49,3,13,0.06,25,19,6,0,6.33,70,37,0,12.33,54,28,4,245.37,26,4,6,10,1,1.33,2,0,22,1.0,3,4,0.76,0.53,0.52,0.15,67,78,삼성화재
391,196,2018-12-24,삼성화재,1,1,53,70,42,5,3,0.6,26,13,2,1,0.5,5,4,0,0,0.8,0,0,0,0,0.0,16,12,1,0,0.75,9,5,2,0,0.56,14,8,0,2,0.57,68,5,14,0.07,32,24,8,0,8.0,69,41,0,13.66,54,31,3,263.45,34,6,9,17,0,2.0,4,0,17,0.9999999999999996,6,3,0.75,0.59,0.57,0.18,78,67,OK저축은행
392,197,2018-12-25,대한항공,0,1,90,114,63,5,8,0.55,37,15,1,3,0.41,2,2,0,0,1.0,0,0,0,0,0.0,27,15,2,1,0.56,13,10,1,0,0.77,35,21,1,4,0.6,100,11,25,0.11,62,46,15,1,9.2,116,58,0,11.6,83,42,0,153.13,50,16,10,17,0,3.2,11,0,34,0.9999999999999996,6,0,0.74,0.5,0.51,0.32,111,92,한국전력
393,197,2018-12-25,한국전력,1,0,54,101,46,14,6,0.46,42,17,7,3,0.4,2,1,0,1,0.5,0,0,0,0,0.0,19,8,1,1,0.42,10,3,1,1,0.3,28,17,5,0,0.61,91,0,10,0.0,67,43,24,0,8.7,107,43,1,8.6,76,32,12,160.13,46,8,9,16,1,1.7000000000000002,5,0,18,0.9999999999999996,6,5,0.64,0.4,0.42,0.17,92,111,대한항공
394,198,2018-12-27,삼성화재,1,1,62,99,49,9,7,0.49,52,23,5,3,0.44,0,0,0,0,0.0,0,0,0,0,0.0,25,13,3,2,0.52,6,1,1,1,0.17,16,12,0,1,0.75,95,2,18,0.02,48,41,7,0,10.25,99,47,2,11.75,68,33,6,213.11,51,11,15,20,0,2.75,10,0,27,0.9999999999999996,6,3,0.85,0.47,0.49,0.22,102,96,현대캐피탈
395,198,2018-12-27,현대캐피탈,0,0,65,105,49,11,10,0.47,38,16,7,3,0.42,3,3,0,0,1.0,0,0,0,0,0.0,28,10,1,6,0.36,18,11,0,0,0.61,18,9,3,1,0.5,93,6,25,0.06,38,29,9,0,7.25,99,44,0,11.0,74,42,2,204.44,56,10,18,19,1,2.58,10,0,36,1.0,6,1,0.76,0.44,0.57,0.18,96,102,삼성화재
396,199,2018-12-28,OK저축은행,1,0,40,64,30,5,9,0.47,23,8,2,5,0.35,0,0,0,0,0.0,0,0,0,0,0.0,21,7,3,3,0.33,11,8,0,1,0.73,9,7,0,0,0.78,48,3,7,0.06,32,19,13,0,6.33,65,31,1,10.33,51,15,8,63.81,33,7,11,14,0,2.33,6,0,17,1.0,6,4,0.59,0.48,0.29,0.21,52,75,우리카드
397,199,2018-12-28,우리카드,0,1,57,64,41,7,2,0.64,30,17,3,1,0.57,1,0,0,0,0.0,0,0,0,0,0.0,11,10,0,0,0.91,8,6,0,0,0.75,14,8,4,1,0.57,73,9,7,0.12,22,19,3,0,6.33,61,37,0,12.33,46,21,3,128.51,31,7,7,13,0,2.3400000000000003,7,0,9,0.9999999999999996,6,6,0.86,0.61,0.46,0.23,75,52,OK저축은행
398,200,2018-12-29,KB손해보험,0,0,61,110,54,11,11,0.49,42,19,5,2,0.45,1,0,0,0,0.0,0,0,0,0,0.0,32,14,3,7,0.44,8,4,0,1,0.5,27,17,3,1,0.63,90,3,11,0.03,51,36,15,0,7.25,107,50,3,10.1,80,40,4,191.67,40,4,9,21,1,0.8500000000000001,3,0,26,0.9999999999999996,6,2,0.71,0.47,0.5,0.1,100,107,대한항공
399,200,2018-12-29,대한항공,1,1,77,109,61,4,12,0.56,33,14,0,6,0.42,0,0,0,0,0.0,0,0,0,0,0.0,23,14,0,3,0.61,22,16,1,0,0.73,31,17,3,3,0.55,104,4,19,0.04,56,40,16,0,8.47,106,55,2,11.05,86,51,3,339.88,52,12,10,19,2,2.8,11,0,35,0.9999999999999998,6,0,0.71,0.52,0.59,0.23,107,100,KB손해보험
400,201,2018-12-30,한국전력,0,0,35,77,30,8,5,0.39,31,10,6,2,0.32,1,0,0,0,0.0,0,0,0,0,0.0,13,4,1,1,0.31,11,5,0,0,0.45,21,11,1,2,0.52,53,1,9,0.02,33,25,8,0,8.33,79,30,0,10.0,54,28,5,187.27,33,4,7,18,0,1.32,4,0,14,0.9999999999999998,4,5,0.76,0.38,0.52,0.12,55,75,현대캐피탈
401,201,2018-12-30,현대캐피탈,1,1,50,67,37,5,6,0.55,31,17,2,2,0.55,2,2,0,0,1.0,0,0,0,0,0.0,19,8,2,2,0.42,7,5,0,2,0.71,8,5,1,0,0.62,71,6,7,0.08,40,34,6,0,11.35,75,39,1,12.99,42,21,1,155.56,35,7,9,13,0,2.3400000000000003,7,0,14,1.0,6,1,0.85,0.52,0.5,0.2,75,55,한국전력
402,202,2018-12-31,삼성화재,0,0,58,85,52,10,4,0.61,42,25,4,3,0.6,2,0,1,0,0.0,0,0,0,0,0.0,24,16,3,1,0.67,8,4,1,0,0.5,9,7,1,0,0.78,77,2,12,0.03,52,36,16,0,9.58,90,49,4,12.5,73,34,7,122.32,46,4,14,20,0,1.0,4,0,20,0.9999999999999996,5,3,0.69,0.54,0.47,0.09,87,99,우리카드
403,202,2018-12-31,우리카드,1,1,74,95,52,4,4,0.55,34,16,1,1,0.47,2,0,0,0,0.0,0,0,0,0,0.0,24,15,2,1,0.62,12,7,0,2,0.58,23,14,1,0,0.61,96,10,12,0.1,42,31,11,0,7.75,92,50,0,12.5,71,31,2,265.98,64,12,11,34,0,3.0,10,0,16,0.9999999999999996,6,6,0.74,0.54,0.44,0.19,99,87,삼성화재
404,203,2019-01-01,KB손해보험,1,1,51,72,39,4,3,0.54,32,18,2,1,0.56,1,0,0,0,0.0,0,0,0,0,0.0,17,8,1,2,0.47,10,6,0,0,0.6,12,7,1,0,0.58,72,5,12,0.07,40,34,6,0,11.35,74,37,0,12.32,46,20,5,193.4,48,7,13,22,0,2.3400000000000003,6,0,15,1.0,6,2,0.85,0.5,0.43,0.15,75,61,OK저축은행
405,203,2019-01-01,OK저축은행,0,0,41,65,31,6,6,0.48,26,9,1,2,0.35,2,1,1,0,0.5,0,0,0,0,0.0,24,15,1,4,0.62,1,0,0,0,0.0,12,6,3,0,0.5,48,5,14,0.1,30,24,6,0,7.99,67,32,1,10.66,43,11,4,45.900000000000006,18,5,3,8,0,1.6700000000000002,0,0,21,0.9999999999999998,3,4,0.8,0.48,0.26,0.28,61,75,KB손해보험
406,204,2019-01-03,우리카드,1,0,74,121,59,11,14,0.49,55,25,3,9,0.45,1,1,0,0,1.0,0,0,0,0,0.0,30,12,4,4,0.4,13,8,1,1,0.62,22,13,3,0,0.59,103,7,14,0.07,60,48,12,0,9.6,117,55,1,11.0,87,39,11,87.77,58,8,20,20,1,1.6,6,0,30,0.9999999999999998,6,6,0.8,0.47,0.45,0.14,103,106,현대캐피탈
407,204,2019-01-03,현대캐피탈,0,1,76,122,54,8,10,0.44,61,23,4,4,0.38,3,2,0,0,0.67,0,0,0,0,0.0,25,13,2,3,0.52,16,8,1,2,0.5,17,8,1,1,0.47,98,11,15,0.11,57,45,12,0,9.2,84,35,0,7.0,87,40,6,144.45,66,11,15,33,2,2.2,9,0,27,0.9999999999999996,6,1,0.79,0.42,0.46,0.17,106,103,우리카드
408,205,2019-01-04,대한항공,0,1,81,126,58,15,9,0.46,43,17,6,4,0.4,1,1,0,0,1.0,1,1,0,0,1.0,22,7,5,3,0.32,21,9,2,0,0.43,38,23,2,2,0.61,111,8,16,0.07,68,49,19,0,10.4,123,52,1,10.5,80,47,2,148.53,67,15,20,24,1,3.2,11,0,27,0.9999999999999996,6,0,0.72,0.42,0.59,0.22,112,107,삼성화재
409,205,2019-01-04,삼성화재,1,0,78,126,61,15,8,0.48,54,22,8,5,0.41,3,2,1,0,0.67,0,0,0,0,0.0,36,18,3,2,0.5,14,11,0,0,0.79,19,8,3,1,0.42,99,2,19,0.02,56,42,14,0,8.58,111,49,1,9.8,91,48,8,233.4,66,15,15,24,3,3.0,14,0,31,0.9999999999999998,6,3,0.75,0.44,0.53,0.23,107,112,대한항공
410,206,2019-01-05,KB손해보험,1,1,82,134,67,10,11,0.5,44,20,5,4,0.45,0,0,0,0,0.0,0,0,0,0,0.0,41,22,1,4,0.54,12,6,1,1,0.5,37,19,3,2,0.51,103,4,17,0.04,68,56,12,0,12.4,109,52,0,10.53,90,49,2,270.07,52,11,14,18,0,2.33,11,0,28,0.9999999999999998,6,2,0.82,0.48,0.54,0.21,110,104,한국전력
411,206,2019-01-05,한국전력,0,0,74,128,62,11,6,0.48,54,22,7,3,0.41,4,3,0,0,0.75,0,0,0,0,0.0,26,12,3,2,0.46,16,6,0,1,0.38,28,19,1,0,0.68,89,2,14,0.02,68,51,17,0,10.2,120,52,2,10.4,88,39,4,161.95,62,10,17,26,3,2.0500000000000003,7,0,25,1.0,6,5,0.75,0.43,0.44,0.16,104,110,KB손해보험
412,207,2019-01-06,OK저축은행,0,0,76,125,53,12,13,0.42,56,22,3,4,0.39,1,0,1,0,0.0,0,0,0,0,0.0,32,13,4,7,0.41,13,5,0,0,0.38,23,13,4,2,0.57,111,7,22,0.06,62,41,20,1,8.6,119,51,1,10.2,98,38,10,90.66,48,16,11,12,3,3.2,15,0,40,1.0,6,4,0.66,0.43,0.39,0.33,113,116,현대캐피탈
413,207,2019-01-06,현대캐피탈,1,1,73,114,51,15,14,0.45,45,16,4,6,0.36,3,1,1,1,0.33,0,0,0,0,0.0,31,15,6,4,0.48,14,7,0,2,0.5,21,12,4,1,0.57,113,10,18,0.09,43,38,5,0,8.15,101,42,0,8.4,90,42,7,270.38,66,12,14,21,4,2.58,12,0,36,1.0,6,1,0.88,0.42,0.47,0.18,116,113,OK저축은행
414,208,2019-01-07,대한항공,1,1,77,124,57,14,7,0.46,43,22,2,3,0.51,0,0,0,0,0.0,0,0,0,0,0.0,29,14,4,2,0.48,15,7,1,0,0.47,37,14,7,2,0.38,100,7,15,0.07,61,43,16,2,8.600000000000001,97,48,0,9.6,89,47,5,147.17000000000002,63,13,19,24,0,2.73,11,0,24,0.9999999999999998,6,0,0.7,0.49,0.53,0.21,107,106,우리카드
