,결과,홈_어웨이,팀코드,상대팀코드,홈어웨이_공격성공률_평균,홈어웨이_서브성공률_평균,홈어웨이_디그성공률_평균,홈어웨이_세트성공률_평균,홈어웨이_리시브정확도_평균,홈어웨이_블로킹성공률_평균,홈어웨이_범실_평균,범실_평균_다섯,디그_평균_다섯,리시브_평균_다섯,공격종합_평균_다섯,블로킹_평균_다섯,세트_평균_다섯,서브_평균_다섯,범실_상대전적,디그_상대전적,리시브_상대전적,공격종합_상대전적,블로킹_상대전적,세트_상대전적,서브_상대전적
0,0,0,0,1,0.5350561797752807,0.06415730337078653,0.744775280898876,0.5101685393258429,0.4720786516853932,0.1961235955056181,24.589887640449437,24.804519774011293,0.7400338983050847,0.470960451977401,0.5317853107344634,0.191536723163842,0.5059661016949154,0.0668022598870055,24.218750000000004,0.734375,0.4986458333333334,0.5207291666666667,0.1738541666666667,0.5002083333333334,0.0670833333333333
1,1,1,1,0,0.5278488372093024,0.0505813953488372,0.7418023255813956,0.4912790697674418,0.4836627906976741,0.20872093023255817,21.41860465116279,22.62196531791907,0.7401271676300577,0.4771907514450865,0.520612716763006,0.2015606936416186,0.4849710982658961,0.0514335260115606,21.031250000000004,0.7508333333333334,0.5169791666666668,0.5314583333333334,0.2098958333333333,0.4787499999999999,0.0536458333333333
2,1,1,2,3,0.5180588235294117,0.06647058823529413,0.7296470588235293,0.49388235294117633,0.41523529411764715,0.17217647058823526,23.741176470588236,23.534939759036146,0.7350722891566263,0.413867469879518,0.5099518072289156,0.1681084337349397,0.4795180722891566,0.0638313253012047,24.93055555555556,0.7559722222222223,0.4418055555555555,0.5088888888888888,0.1961111111111111,0.4733333333333334,0.0830555555555555
3,0,0,3,2,0.5224390243902438,0.05054878048780488,0.7489634146341463,0.48426829268292704,0.43134146341463375,0.18542682926829257,22.20731707317073,22.909638554216876,0.7421566265060244,0.4238915662650604,0.5206867469879518,0.1819759036144579,0.4845783132530117,0.0491325301204819,23.38888888888889,0.7629166666666666,0.5320833333333331,0.5558333333333333,0.2077777777777778,0.5179166666666665,0.0431944444444444
4,1,1,4,5,0.5064634146341466,0.06359756097560977,0.749329268292683,0.4760975609756097,0.43237804878048786,0.1909146341463414,24.128048780487806,23.732934131736524,0.7474610778443114,0.4261437125748501,0.5161556886227547,0.1896167664670658,0.4814850299401199,0.0652335329341317,24.82051282051282,0.7315384615384615,0.5108974358974359,0.4947435897435896,0.1761538461538462,0.4449999999999999,0.0593589743589743
5,0,0,5,4,0.4714634146341462,0.05048780487804879,0.7451219512195124,0.4434756097560975,0.43481707317073187,0.16591463414634144,20.676829268292682,20.785276073619627,0.739141104294479,0.436932515337423,0.4787484662576685,0.1771533742331288,0.4490061349693255,0.0488957055214723,21.41025641025641,0.7448717948717947,0.4919230769230768,0.4638461538461539,0.1817948717948718,0.4333333333333333,0.0471794871794872
6,1,1,2,1,0.5180588235294117,0.06647058823529413,0.7296470588235293,0.49388235294117633,0.41523529411764715,0.17217647058823526,23.741176470588236,23.534939759036146,0.7350722891566263,0.413867469879518,0.5099518072289156,0.1681084337349397,0.4795180722891566,0.0638313253012047,24.961538461538467,0.7598717948717949,0.4412820512820513,0.5032051282051281,0.1987179487179487,0.4628205128205128,0.0803846153846153
7,0,0,1,2,0.5131249999999999,0.05204545454545451,0.7379545454545453,0.4775568181818181,0.471931818181818,0.1944318181818182,23.875,22.621965317919077,0.7401271676300578,0.4771907514450866,0.5206127167630061,0.2015606936416185,0.4849710982658961,0.0514335260115606,20.846153846153847,0.757948717948718,0.5183333333333334,0.5319230769230769,0.2167948717948718,0.4739743589743588,0.0603846153846153
8,1,1,0,6,0.5282022471910114,0.06938202247191007,0.7351685393258428,0.5016292134831458,0.4704494382022473,0.1864044943820225,25.01123595505618,24.804519774011293,0.7400338983050847,0.470960451977401,0.5317853107344634,0.191536723163842,0.5059661016949154,0.0668022598870055,23.944444444444446,0.734,0.4992222222222223,0.5207777777777778,0.173,0.4997777777777778,0.0677777777777777
9,0,0,6,0,0.5285057471264367,0.057011494252873565,0.7410344827586208,0.5015517241379311,0.4302298850574711,0.17488505747126434,20.632183908045977,20.041618497109823,0.7439537572254331,0.4308323699421968,0.5214104046242775,0.179271676300578,0.4953410404624278,0.0559421965317918,22.38888888888889,0.7366666666666668,0.4648888888888889,0.522,0.1644444444444444,0.4948888888888889,0.0637777777777777
10,1,0,4,3,0.5249418604651162,0.06668604651162792,0.7453488372093022,0.4863953488372093,0.4212790697674419,0.18965116279069766,23.36046511627907,23.732934131736524,0.7474610778443114,0.42614371257485,0.5161556886227547,0.1896167664670658,0.4814850299401198,0.0652335329341317,25.08,0.7293333333333334,0.5121333333333332,0.4942666666666666,0.1781333333333333,0.4450666666666666,0.0602666666666666
11,0,1,3,4,0.5206470588235292,0.047705882352941195,0.7352352941176473,0.48647058823529404,0.4172352941176471,0.17905882352941174,23.58235294117647,22.909638554216876,0.7421566265060245,0.4238915662650604,0.5206867469879518,0.1819759036144579,0.4845783132530117,0.0491325301204819,23.293333333333337,0.7630666666666666,0.5297333333333332,0.5535999999999999,0.2069333333333333,0.5159999999999999,0.0434666666666666
12,0,1,2,5,0.525,0.10500000000000001,0.8400000000000001,0.5,0.46499999999999997,0.16999999999999998,26.5,23.534939759036146,0.7350722891566261,0.413867469879518,0.5099518072289158,0.1681084337349397,0.4795180722891566,0.0638313253012047,24.97333333333334,0.7586666666666667,0.4414666666666666,0.5057333333333333,0.1981333333333333,0.4678666666666667,0.0814666666666666
13,1,0,5,2,0.4714634146341462,0.05048780487804879,0.7451219512195124,0.4434756097560975,0.43481707317073187,0.16591463414634144,20.676829268292682,20.785276073619627,0.7391411042944791,0.436932515337423,0.4787484662576685,0.1771533742331288,0.4490061349693254,0.0488957055214723,21.4,0.7423999999999996,0.4897333333333332,0.4642666666666667,0.1834666666666666,0.4346666666666666,0.0484
14,0,1,6,1,0.5148850574712643,0.054885057471264355,0.7468965517241382,0.48959770114942536,0.4317816091954024,0.18304597701149425,19.49425287356322,20.041618497109823,0.7439537572254332,0.4308323699421967,0.5214104046242775,0.179271676300578,0.4953410404624278,0.0559421965317918,22.797619047619044,0.7420238095238096,0.4665476190476191,0.5270238095238096,0.1686904761904762,0.4986904761904762,0.0627380952380952
15,1,0,1,6,0.5131249999999999,0.05204545454545451,0.7379545454545453,0.4775568181818181,0.471931818181818,0.1944318181818182,23.875,22.62196531791907,0.7401271676300577,0.4771907514450866,0.5206127167630059,0.2015606936416186,0.4849710982658961,0.0514335260115606,20.73809523809524,0.753452380952381,0.5179761904761906,0.5342857142857144,0.214047619047619,0.4776190476190475,0.0579761904761904
16,0,1,4,0,0.5064634146341466,0.06359756097560977,0.749329268292683,0.4760975609756097,0.43237804878048786,0.1909146341463414,24.128048780487806,23.732934131736524,0.7474610778443114,0.42614371257485,0.5161556886227547,0.1896167664670658,0.4814850299401198,0.0652335329341317,25.08,0.7293333333333334,0.5121333333333332,0.4942666666666666,0.1781333333333333,0.4450666666666666,0.0602666666666666
17,1,0,0,4,0.5350561797752807,0.06415730337078653,0.744775280898876,0.5101685393258429,0.4720786516853932,0.1961235955056181,24.589887640449437,24.804519774011297,0.7400338983050846,0.4709604519774011,0.5317853107344634,0.1915367231638419,0.5059661016949154,0.0668022598870056,23.96,0.728,0.5036,0.5169333333333334,0.1693333333333333,0.4950666666666667,0.0696
18,1,0,3,6,0.5224390243902438,0.05054878048780488,0.7489634146341463,0.48426829268292704,0.43134146341463375,0.18542682926829257,22.20731707317073,22.90963855421688,0.7421566265060244,0.4238915662650604,0.5206867469879518,0.1819759036144579,0.4845783132530117,0.0491325301204819,23.293333333333337,0.7630666666666666,0.5297333333333332,0.5535999999999999,0.2069333333333333,0.5159999999999999,0.0434666666666666
19,0,1,6,3,0.5148850574712643,0.054885057471264355,0.7468965517241382,0.48959770114942536,0.4317816091954024,0.18304597701149425,19.49425287356322,20.041618497109823,0.7439537572254333,0.4308323699421968,0.5214104046242775,0.179271676300578,0.4953410404624278,0.0559421965317918,23.266666666666666,0.7454666666666668,0.4682666666666668,0.5341333333333335,0.166,0.5028,0.0590666666666666
20,1,1,5,1,0.4853658536585366,0.047987804878048775,0.7331707317073171,0.45353658536585356,0.4402439024390242,0.18835365853658534,20.9390243902439,20.785276073619627,0.739141104294479,0.436932515337423,0.4787484662576685,0.1771533742331288,0.4490061349693254,0.0488957055214723,21.444444444444443,0.7422222222222219,0.4880555555555554,0.4658333333333335,0.1848611111111111,0.4370833333333332,0.0497222222222222
21,0,0,1,5,0.405,0.04,0.725,0.395,0.475,0.165,24.5,22.62196531791907,0.7401271676300578,0.4771907514450866,0.520612716763006,0.2015606936416185,0.484971098265896,0.0514335260115606,21.416666666666668,0.7606944444444445,0.5158333333333334,0.5301388888888889,0.2219444444444444,0.4720833333333332,0.0598611111111111
22,0,0,4,6,0.5249418604651162,0.06668604651162792,0.7453488372093022,0.4863953488372093,0.4212790697674419,0.18965116279069766,23.36046511627907,23.732934131736524,0.7474610778443114,0.4261437125748499,0.5161556886227547,0.1896167664670658,0.4814850299401198,0.0652335329341317,24.82051282051282,0.7315384615384615,0.5108974358974359,0.4947435897435896,0.1761538461538462,0.4449999999999999,0.0593589743589743
23,1,1,6,4,0.56,0.04,0.745,0.51,0.585,0.18,28.5,20.041618497109823,0.7439537572254331,0.4308323699421967,0.5214104046242775,0.179271676300578,0.4953410404624278,0.0559421965317918,23.17948717948718,0.7469230769230771,0.4670512820512821,0.5330769230769231,0.1678205128205128,0.5015384615384616,0.06
24,1,0,2,0,0.501280487804878,0.06152439024390242,0.7426219512195122,0.46432926829268306,0.41335365853658534,0.16359756097560973,23.25,23.53493975903614,0.7350722891566263,0.413867469879518,0.5099518072289158,0.1681084337349397,0.4795180722891567,0.0638313253012047,24.97333333333334,0.7586666666666667,0.4414666666666666,0.5057333333333333,0.1981333333333333,0.4678666666666667,0.0814666666666666
25,0,1,0,2,0.5282022471910114,0.06938202247191007,0.7351685393258428,0.5016292134831458,0.4704494382022473,0.1864044943820225,25.01123595505618,24.804519774011297,0.7400338983050846,0.470960451977401,0.5317853107344633,0.1915367231638419,0.5059661016949154,0.0668022598870056,23.96,0.728,0.5036,0.5169333333333334,0.1693333333333333,0.4950666666666667,0.0696
26,1,0,3,5,0.595,0.045,0.7,0.56,0.47,0.2,27.5,22.90963855421688,0.7421566265060244,0.4238915662650604,0.5206867469879517,0.1819759036144579,0.4845783132530117,0.0491325301204819,23.41025641025641,0.7624358974358973,0.5296153846153845,0.5521794871794872,0.2058974358974359,0.5146153846153845,0.0441025641025641
27,0,1,5,3,0.4853658536585366,0.047987804878048775,0.7331707317073171,0.45353658536585356,0.4402439024390242,0.18835365853658534,20.9390243902439,20.785276073619627,0.7391411042944791,0.4369325153374229,0.4787484662576685,0.1771533742331288,0.4490061349693254,0.0488957055214723,21.41025641025641,0.7448717948717947,0.4919230769230768,0.4638461538461539,0.1817948717948718,0.4333333333333333,0.0471794871794872
28,0,0,4,1,0.45,0.095,0.78,0.43,0.515,0.2,21.5,23.732934131736524,0.7474610778443113,0.4261437125748499,0.5161556886227546,0.1896167664670658,0.4814850299401197,0.0652335329341316,25.08,0.7293333333333334,0.5121333333333332,0.4942666666666666,0.1781333333333333,0.4450666666666666,0.0602666666666666
29,1,1,1,4,0.5278488372093024,0.0505813953488372,0.7418023255813956,0.4912790697674418,0.4836627906976741,0.20872093023255817,21.41860465116279,22.62196531791907,0.7401271676300578,0.4771907514450866,0.520612716763006,0.2015606936416186,0.484971098265896,0.0514335260115606,21.08,0.7589333333333333,0.5181333333333334,0.5313333333333334,0.2185333333333333,0.4730666666666666,0.0606666666666666
30,0,0,2,6,0.501280487804878,0.06152439024390242,0.7426219512195122,0.46432926829268306,0.41335365853658534,0.16359756097560973,23.25,23.53493975903614,0.7350722891566261,0.413867469879518,0.5099518072289159,0.1681084337349397,0.4795180722891567,0.0638313253012047,24.961538461538467,0.7598717948717949,0.4412820512820513,0.5032051282051281,0.1987179487179487,0.4628205128205128,0.0803846153846153
31,1,1,6,2,0.6,0.07500000000000001,0.735,0.565,0.475,0.21000000000000002,27.5,20.041618497109823,0.7439537572254332,0.4308323699421967,0.5214104046242775,0.179271676300578,0.4953410404624278,0.0559421965317918,23.17948717948718,0.7469230769230771,0.4670512820512821,0.5330769230769231,0.1678205128205128,0.5015384615384616,0.06
32,1,0,0,5,0.54,0.060000000000000005,0.73,0.54,0.54,0.1,29.0,24.804519774011293,0.7400338983050846,0.4709604519774011,0.5317853107344633,0.1915367231638419,0.5059661016949155,0.0668022598870056,24.194444444444443,0.7268055555555555,0.5031944444444445,0.5156944444444445,0.1672222222222222,0.4937500000000001,0.0688888888888888
33,0,1,5,0,0.44,0.05,0.7849999999999999,0.38,0.5449999999999999,0.275,20.5,20.785276073619627,0.7391411042944791,0.436932515337423,0.4787484662576685,0.1771533742331288,0.4490061349693254,0.0488957055214723,21.444444444444443,0.7422222222222219,0.4880555555555554,0.4658333333333335,0.1848611111111111,0.4370833333333332,0.0497222222222222
34,1,1,3,1,0.5206470588235292,0.047705882352941195,0.7352352941176473,0.48647058823529404,0.4172352941176471,0.17905882352941174,23.58235294117647,22.90963855421688,0.7421566265060244,0.4238915662650604,0.5206867469879517,0.1819759036144579,0.4845783132530117,0.0491325301204819,23.293333333333337,0.7630666666666666,0.5297333333333332,0.5535999999999999,0.2069333333333333,0.5159999999999999,0.0434666666666666
35,0,0,1,3,0.45,0.03,0.735,0.245,0.55,0.13,23.0,22.0,0.744,0.498,0.466,0.168,0.364,0.0419999999999999,21.08,0.7589333333333333,0.5181333333333334,0.5313333333333334,0.2185333333333333,0.4730666666666666,0.0606666666666666
36,1,0,2,4,0.51,0.095,0.765,0.49,0.42500000000000004,0.195,25.0,24.8,0.804,0.454,0.502,0.1679999999999999,0.4779999999999999,0.096,24.975308641975317,0.7591358024691358,0.4414814814814815,0.5049382716049382,0.1986419753086419,0.4648148148148148,0.0806172839506172
37,0,1,4,2,0.53,0.06,0.745,0.505,0.52,0.22499999999999998,31.5,25.4,0.7700000000000001,0.5279999999999999,0.482,0.2219999999999999,0.462,0.0679999999999999,24.55555555555556,0.7343209876543211,0.5101234567901234,0.4966666666666665,0.1759259259259259,0.4462962962962962,0.0595061728395061
38,0,0,6,5,0.5285057471264367,0.057011494252873565,0.7410344827586208,0.5015517241379311,0.4302298850574711,0.17488505747126434,20.632183908045977,28.0,0.76,0.4799999999999998,0.5519999999999999,0.158,0.51,0.06,23.266666666666666,0.7454666666666668,0.4682666666666668,0.5341333333333335,0.166,0.5028,0.0590666666666666
39,1,1,5,6,0.37,0.04,0.745,0.32499999999999996,0.49,0.20500000000000002,29.0,25.2,0.7699999999999999,0.532,0.4319999999999999,0.2099999999999999,0.392,0.0639999999999999,21.4,0.7423999999999996,0.4897333333333332,0.4642666666666667,0.1834666666666666,0.4346666666666666,0.0484
40,0,1,0,3,0.5,0.06,0.72,0.5,0.53,0.2,17.5,26.0,0.744,0.528,0.504,0.152,0.498,0.052,24.047619047619047,0.7326190476190476,0.5038095238095239,0.5203571428571429,0.1720238095238095,0.4989285714285714,0.069047619047619
41,1,0,3,0,0.595,0.05,0.8,0.55,0.595,0.24,19.5,23.8,0.792,0.5439999999999999,0.542,0.224,0.51,0.05,23.642857142857142,0.7604761904761904,0.5279761904761903,0.549047619047619,0.2069047619047619,0.5124999999999998,0.044047619047619
42,0,1,2,4,0.48,0.095,0.845,0.44499999999999995,0.47,0.175,19.5,24.0,0.8240000000000001,0.47,0.5,0.19,0.474,0.09,24.97530864197531,0.7591358024691358,0.4414814814814815,0.5049382716049382,0.1986419753086419,0.4648148148148148,0.0806172839506172
43,1,0,4,2,0.445,0.065,0.765,0.43,0.515,0.22,22.0,23.0,0.756,0.5159999999999999,0.4679999999999999,0.21,0.442,0.072,24.555555555555557,0.7343209876543211,0.5101234567901235,0.4966666666666665,0.1759259259259259,0.4462962962962962,0.0595061728395061
44,1,1,6,5,0.575,0.09,0.765,0.5349999999999999,0.435,0.19,32.0,31.4,0.776,0.49,0.562,0.16,0.524,0.066,23.266666666666666,0.7454666666666667,0.4682666666666667,0.5341333333333333,0.1659999999999999,0.5028,0.0590666666666666
45,0,0,5,6,0.45,0.095,0.75,0.425,0.54,0.175,23.5,24.2,0.7779999999999999,0.532,0.446,0.232,0.406,0.062,21.4,0.7423999999999998,0.4897333333333332,0.4642666666666667,0.1834666666666666,0.4346666666666666,0.0484
46,0,0,0,3,0.5,0.035,0.78,0.485,0.51,0.13,30.5,21.4,0.7299999999999999,0.526,0.498,0.162,0.482,0.048,24.047619047619047,0.7326190476190476,0.5038095238095238,0.5203571428571429,0.1720238095238095,0.4989285714285714,0.069047619047619
47,1,1,3,0,0.475,0.060000000000000005,0.835,0.455,0.56,0.21,25.5,20.8,0.806,0.5820000000000001,0.536,0.238,0.5,0.056,23.642857142857142,0.7604761904761903,0.5279761904761903,0.549047619047619,0.2069047619047619,0.5125,0.044047619047619
48,0,1,4,1,0.495,0.07,0.71,0.45499999999999996,0.49,0.195,25.5,25.2,0.742,0.4779999999999999,0.492,0.2,0.466,0.068,25.08,0.7293333333333334,0.5121333333333333,0.4942666666666665,0.1781333333333333,0.4450666666666666,0.0602666666666666
49,1,0,1,4,0.45999999999999996,0.05,0.78,0.245,0.5900000000000001,0.16,22.0,21.6,0.764,0.524,0.448,0.166,0.348,0.05,21.08,0.7589333333333333,0.5181333333333333,0.5313333333333335,0.2185333333333333,0.4730666666666666,0.0606666666666666
50,1,0,2,6,0.53,0.07,0.8500000000000001,0.495,0.535,0.195,31.0,26.0,0.7959999999999999,0.47,0.492,0.182,0.4679999999999999,0.094,24.96153846153846,0.7598717948717949,0.4412820512820513,0.5032051282051282,0.1987179487179487,0.4628205128205128,0.0803846153846153
51,0,1,6,2,0.52,0.07500000000000001,0.81,0.475,0.5800000000000001,0.18,32.0,31.0,0.79,0.504,0.556,0.168,0.522,0.074,23.17948717948718,0.746923076923077,0.4670512820512821,0.5330769230769231,0.1678205128205128,0.5015384615384616,0.06
52,1,1,0,5,0.48,0.04,0.7,0.46499999999999997,0.525,0.16,14.0,23.4,0.72,0.518,0.4859999999999999,0.154,0.466,0.044,24.194444444444443,0.7268055555555555,0.5031944444444445,0.5156944444444445,0.1672222222222222,0.49375,0.0688888888888888
53,0,0,5,0,0.405,0.05,0.745,0.385,0.5349999999999999,0.22999999999999998,22.5,24.4,0.7639999999999999,0.518,0.428,0.228,0.388,0.042,21.444444444444443,0.742222222222222,0.4880555555555554,0.4658333333333334,0.1848611111111111,0.4370833333333332,0.0497222222222222
54,1,0,3,1,0.5549999999999999,0.05,0.825,0.505,0.63,0.295,13.5,20.2,0.79,0.59,0.556,0.248,0.516,0.056,23.29333333333333,0.7630666666666664,0.5297333333333332,0.5535999999999999,0.2069333333333333,0.5159999999999999,0.0434666666666666
55,0,1,1,3,0.54,0.05500000000000001,0.755,0.485,0.49,0.195,21.5,22.6,0.746,0.538,0.49,0.196,0.38,0.054,21.08,0.7589333333333333,0.5181333333333333,0.5313333333333335,0.2185333333333333,0.4730666666666666,0.0606666666666666
56,0,1,4,6,0.49,0.06,0.6699999999999999,0.45499999999999996,0.52,0.15,26.0,25.4,0.7260000000000001,0.49,0.49,0.182,0.466,0.064,24.82051282051282,0.7315384615384616,0.5108974358974359,0.4947435897435895,0.1761538461538462,0.4449999999999999,0.0593589743589743
57,1,0,6,4,0.515,0.05500000000000001,0.8200000000000001,0.495,0.385,0.055,27.5,32.2,0.8019999999999999,0.474,0.538,0.1339999999999999,0.496,0.078,23.17948717948718,0.746923076923077,0.4670512820512821,0.5330769230769231,0.1678205128205128,0.5015384615384616,0.06
58,0,0,2,0,0.515,0.07,0.89,0.475,0.525,0.22,31.0,28.0,0.8099999999999999,0.47,0.506,0.206,0.476,0.092,24.973333333333336,0.7586666666666667,0.4414666666666666,0.5057333333333334,0.1981333333333333,0.4678666666666667,0.0814666666666666
59,1,1,0,2,0.505,0.04,0.765,0.46499999999999997,0.575,0.16499999999999998,12.0,21.2,0.748,0.534,0.4779999999999999,0.1699999999999999,0.4519999999999999,0.04,23.96,0.7279999999999999,0.5036,0.5169333333333334,0.1693333333333333,0.4950666666666667,0.0695999999999999
60,1,1,3,5,0.525,0.060000000000000005,0.7949999999999999,0.495,0.58,0.235,24.0,19.2,0.8280000000000001,0.58,0.55,0.244,0.508,0.046,23.410256410256405,0.7624358974358971,0.5296153846153845,0.5521794871794872,0.2058974358974359,0.5146153846153846,0.0441025641025641
61,0,0,5,3,0.38,0.035,0.77,0.34,0.49,0.11,22.0,24.4,0.758,0.4939999999999999,0.404,0.1699999999999999,0.364,0.046,21.410256410256405,0.7448717948717948,0.4919230769230768,0.4638461538461538,0.1817948717948718,0.4333333333333333,0.0471794871794871
62,0,1,6,1,0.5,0.07,0.81,0.44,0.545,0.115,30.5,31.2,0.784,0.5,0.528,0.134,0.484,0.064,22.797619047619044,0.7420238095238096,0.4665476190476191,0.5270238095238095,0.1686904761904762,0.4986904761904763,0.0627380952380952
