,팀명,이름,포지션,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,디그_성공률,세트_성공률,리시브_정확률,블로킹_성공률,시즌
0,KB손해보험,강영준,R,0,10.25,17.25,9.5,2.5,1.75,56.015,19.53,6.5,2.75,1.5,0.75,41.39,20.57,1.0,0.5,0.25,0.25,37.5,45.832499999999996,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.5,0.5,37.55,27.0425,0.0,0.0,0.0,0.0,0.0,0.0,3.75,3.25,0.25,0.25,88.095,21.0425,10.25,0.25,3.0,0.0625,13.2675,3.25,2.25,1.0,0.0,0.625,9.665,1.25,0.0,0.0,0.0,1.455,4.0,0.75,0.75,4.1675,6.245,2.25,0.5,0.75,1.0,0.0,0.125,6.8774999999999995,0.25,0.0,4.75,62.5,0.0,8.333333333333334,20.833333333333332,18-19
1,KB손해보험,강영준,R,1,9.0,8.0,6.0,0.0,0.0,75.0,6.78,5.0,4.0,0.0,0.0,80.0,12.82,1.0,1.0,0.0,0.0,100.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,3.7,10.0,2.0,2.0,0.4,9.71,4.0,3.0,1.0,0.0,0.6,6.06,2.0,0.0,0.0,0.0,1.6,11.0,4.0,0.0,36.36,12.36,5.0,1.0,1.0,3.0,0.0,0.2,7.69,0.0,0.0,2.0,75.0,0.0,36.36363636363637,20.0,18-19
2,KB손해보험,곽동혁,Li,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.6,1.6,0.0,1.2,12.044,2.2,0.8,0.0,0.266,2.444,4.4,2.2,0.2,47.858,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,30.0,63.39285714285714,0.0,18-19
3,KB손해보험,곽동혁,Li,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,6.67,1.0,0.0,0.0,0.0,0.74,15.0,7.0,1.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,46.666666666666664,0.0,18-19
4,KB손해보험,김정호,L,0,7.0,13.727272727272727,6.2727272727272725,1.6363636363636365,1.3636363636363635,45.64,13.226363636363637,4.636363636363637,1.9090909090909092,0.5454545454545454,0.45454545454545453,41.13636363636363,14.163636363636362,0.7272727272727273,0.5454545454545454,0.09090909090909091,0.0,40.90909090909091,32.12090909090909,0.0,0.0,0.0,0.0,0.0,0.0,2.1818181818181817,1.0,0.0,0.36363636363636365,34.24181818181818,7.613636363636363,0.0,0.0,0.0,0.0,0.0,0.0,6.181818181818182,2.8181818181818183,1.0,0.5454545454545454,44.92909090909091,24.83818181818182,9.181818181818182,0.2727272727272727,1.8181818181818181,0.07090909090909091,10.209090909090909,4.7272727272727275,3.272727272727273,1.4545454545454546,0.0,0.8899999999999999,8.901818181818182,1.7272727272727273,0.7272727272727273,0.0,0.15454545454545457,1.641818181818182,20.181818181818183,8.727272727272727,1.6363636363636365,32.95636363636363,24.594545454545457,3.6363636363636362,0.45454545454545453,1.2727272727272727,1.4545454545454546,0.09090909090909091,0.14363636363636365,7.081818181818182,0.36363636363636365,0.0,3.272727272727273,67.61904761904762,27.77777777777778,41.82229247360826,14.259259259259258,18-19
5,KB손해보험,김정호,L,1,11.125,18.0,9.875,1.625,1.5,51.5475,17.83125,5.875,2.0,0.625,0.75,26.95875,21.21125,2.75,2.375,0.0,0.0,75.0,48.4825,0.125,0.125,0.0,0.0,12.5,12.5,3.375,2.5,0.25,0.25,50.519999999999996,11.407499999999999,0.0,0.0,0.0,0.0,0.0,0.0,5.875,2.875,0.75,0.5,49.37375,24.12,13.625,1.0,1.75,0.28125,13.90125,7.25,4.75,2.375,0.125,1.30375,14.0425,1.875,1.0,0.0,0.23500000000000001,1.7725,22.375,9.875,0.75,43.90125,29.1875,4.5,0.25,1.25,2.0,0.625,0.05625,9.41625,0.75,0.0,4.0,68.98809523809524,51.19047619047618,46.59408145441146,3.1746031746031744,18-19
6,KB손해보험,김홍정,C,0,3.2857142857142856,4.857142857142857,2.5714285714285716,0.2857142857142857,0.2857142857142857,54.965714285714284,4.808571428571428,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.0,28.571428571428573,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.142857142857143,2.2857142857142856,0.14285714285714285,0.2857142857142857,58.332857142857144,33.67,0.0,0.0,0.0,0.0,0.0,0.0,8.857142857142858,0.0,0.14285714285714285,0.0,9.618571428571428,1.8571428571428572,1.4285714285714286,0.42857142857142855,0.0,0.3828571428571429,3.044285714285714,1.2857142857142858,0.5714285714285714,0.0,0.15857142857142859,1.2057142857142857,0.2857142857142857,0.14285714285714285,0.0,14.285714285714286,0.39571428571428574,8.142857142857142,0.7142857142857143,3.0,3.7142857142857144,0.14285714285714285,0.21285714285714286,16.944285714285716,1.2857142857142858,0.0,0.5714285714285714,65.0,41.666666666666664,50.0,9.750566893424036,18-19
7,KB손해보험,김홍정,C,1,4.857142857142857,5.142857142857143,3.4285714285714284,0.2857142857142857,0.0,75.95285714285714,5.488571428571428,0.42857142857142855,0.14285714285714285,0.0,0.0,7.142857142857143,1.437142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714285714285714,3.2857142857142856,0.2857142857142857,0.0,77.02428571428571,37.675714285714285,0.0,0.0,0.0,0.0,0.0,0.0,7.571428571428571,0.0,0.5714285714285714,0.0,7.741428571428571,2.0,1.4285714285714286,0.5714285714285714,0.0,0.41714285714285715,4.2299999999999995,1.8571428571428572,0.2857142857142857,0.14285714285714285,0.08285714285714287,1.7142857142857142,0.2857142857142857,0.0,0.14285714285714285,0.0,0.38285714285714284,8.428571428571429,1.4285714285714286,2.0,4.142857142857143,0.14285714285714285,0.4042857142857143,17.102857142857143,2.0,0.0,0.8571428571428571,71.0,33.333333333333336,0.0,20.045866831581115,18-19
8,KB손해보험,박광희,L,0,0.7,1.0,0.6,0.1,0.0,17.5,0.9959999999999999,0.1,0.1,0.0,0.0,10.0,0.294,0.1,0.1,0.0,0.0,10.0,3.3329999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.1,0.0,16.667,2.423,4.3,0.1,0.3,0.033,4.779,1.8,1.4,0.4,0.0,0.41600000000000004,3.566,0.8,0.3,0.0,0.083,0.786,5.8,2.4,0.2,32.501,6.748,0.5,0.0,0.3,0.2,0.0,0.0,0.9480000000000001,0.0,0.0,0.3,80.33333333333333,46.666666666666664,43.326048951048946,0.0,18-19
9,KB손해보험,박광희,L,1,0.0,0.4,0.0,0.0,0.0,0.0,0.41600000000000004,0.4,0.0,0.0,0.0,0.0,1.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.4,0.0,3.094,0.8,0.4,0.4,0.0,0.11600000000000002,1.26,0.2,0.0,0.0,0.0,0.16,3.4,1.2,0.2,21.112000000000002,4.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,66.66666666666666,0.0,26.38888888888889,0.0,18-19
