,팀명,이름,포지션,결과,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,디그_성공률,세트_성공률,리시브_정확률,블로킹_성공률,시즌
131,삼성화재,이현우,Li,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,1.5,11.32,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,40.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,60.0,0.0,17-18
132,삼성화재,정준혁,C,0,4.5,3.0,1.5,0.0,1.0,25.0,3.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,0.0,1.0,25.0,17.645,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,1.0,0.0,8.7,1.0,1.0,0.0,0.0,0.29000000000000004,2.045,2.0,0.5,0.0,0.125,2.21,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.5,2.5,0.0,0.875,19.95,0.5,0.0,2.0,100.0,25.0,0.0,38.09523809523809,17-18
133,삼성화재,타이스,L,0,25.0,45.76470588235294,22.352941176470587,4.294117647058823,5.0,48.21647058823529,44.06294117647059,22.41176470588235,10.705882352941176,2.1176470588235294,2.2941176470588234,46.87235294117647,51.046470588235294,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,3.1370588235294115,0.0,0.0,0.0,0.0,0.0,0.0,17.470588235294116,8.941176470588236,1.6470588235294117,2.1176470588235294,50.00764705882353,54.976470588235294,0.0,0.0,0.0,0.0,0.0,0.0,5.764705882352941,2.7058823529411766,0.5294117647058824,0.5294117647058824,43.57176470588235,54.47588235294118,12.705882352941176,0.7058823529411765,4.0588235294117645,0.1635294117647059,13.831176470588234,6.411764705882353,4.588235294117647,1.8235294117647058,0.0,1.1094117647058823,12.52235294117647,3.0588235294117645,0.7647058823529411,0.17647058823529413,0.18705882352941178,2.9147058823529415,15.0,6.176470588235294,1.588235294117647,18.45705882352941,18.14529411764706,7.9411764705882355,1.9411764705882353,1.7647058823529411,2.6470588235294117,0.29411764705882354,0.4411764705882353,14.531176470588235,0.9411764705882353,0.0,9.529411764705882,73.00869065574949,25.58823529411765,41.07739566126016,25.28520499108734,17-18
134,삼성화재,타이스,L,1,27.55,42.05,24.95,2.9,3.0,60.4335,44.61,20.35,11.4,1.3,1.45,56.158500000000004,50.119,0.1,0.05,0.0,0.0,5.0,4.1665,0.0,0.0,0.0,0.0,0.0,0.0,15.75,9.45,1.25,1.15,62.00500000000001,58.081500000000005,0.0,0.0,0.0,0.0,0.0,0.0,5.85,4.05,0.35,0.4,73.23949999999999,55.687,12.2,1.1,4.3,0.3105,13.2625,5.6,4.25,1.35,0.0,1.0215,11.940999999999999,2.1,0.4,0.0,0.1005,2.2704999999999997,12.1,5.45,1.0,14.143,17.048,7.4,1.5,1.9,2.65,0.3,0.40549999999999997,14.62,1.6,0.0,7.6,78.45075757575758,24.705882352941178,40.13351002282891,20.101190476190474,17-18
135,삼성화재,한정훈,L,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.5,1.5,0.125,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,17-18
136,삼성화재,황동일,S,0,2.588235294117647,2.3529411764705883,1.411764705882353,0.11764705882352941,0.4117647058823529,50.980588235294114,2.1829411764705884,2.3529411764705883,1.411764705882353,0.11764705882352941,0.4117647058823529,50.980588235294114,5.302352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.941176470588236,0.058823529411764705,0.5294117647058824,0.014705882352941176,11.998235294117647,6.0588235294117645,4.647058823529412,1.3529411764705883,0.058823529411764705,1.1041176470588234,12.14235294117647,67.11764705882354,34.35294117647059,0.4117647058823529,8.220588235294118,64.25941176470589,0.058823529411764705,0.0,0.058823529411764705,0.0,0.07764705882352942,5.764705882352941,1.1176470588235294,1.3529411764705883,2.4705882352941178,0.29411764705882354,0.27941176470588236,10.31529411764706,0.5882352941176471,0.0,1.7058823529411764,75.22546897546897,50.311341318896986,0.0,21.58263305322129,17-18
137,삼성화재,황동일,S,1,3.0,3.5555555555555554,1.9444444444444444,0.16666666666666666,0.1111111111111111,56.91777777777778,3.8800000000000003,3.5555555555555554,1.9444444444444444,0.16666666666666666,0.1111111111111111,56.91777777777778,9.477222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.166666666666666,0.3333333333333333,0.4444444444444444,0.07777777777777778,13.22,7.722222222222222,5.944444444444445,1.7777777777777777,0.0,1.573888888888889,16.805,67.83333333333333,38.94444444444444,0.5555555555555556,10.479444444444445,75.28222222222222,0.16666666666666666,0.0,0.05555555555555555,0.0,0.27166666666666667,5.166666666666667,0.7222222222222222,1.0555555555555556,2.111111111111111,0.16666666666666666,0.1927777777777778,10.076666666666666,0.9444444444444444,0.0,1.2777777777777777,77.77248214748215,57.48012412182714,0.0,12.57495590828924,17-18
138,우리카드,구도현,C,0,4.333333333333333,6.0,2.6666666666666665,0.2222222222222222,0.6666666666666666,48.74444444444444,6.74,0.6666666666666666,0.2222222222222222,0.0,0.2222222222222222,22.22222222222222,2.4055555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,2.4444444444444446,0.2222222222222222,0.4444444444444444,49.07333333333333,43.3,0.0,0.0,0.0,0.0,0.0,0.0,9.88888888888889,0.5555555555555556,0.6666666666666666,0.15555555555555556,12.122222222222222,2.111111111111111,0.8888888888888888,1.2222222222222223,0.0,0.24444444444444446,4.938888888888889,1.1111111111111112,0.6666666666666666,0.1111111111111111,0.1788888888888889,1.0533333333333335,0.3333333333333333,0.1111111111111111,0.0,11.11111111111111,0.51,8.444444444444445,1.1111111111111112,2.4444444444444446,4.111111111111111,0.1111111111111111,0.28444444444444444,21.051111111111112,1.1111111111111112,0.0,1.5555555555555556,44.791666666666664,61.11111111111111,33.333333333333336,12.505827505827504,17-18
139,우리카드,구도현,C,1,4.636363636363637,4.545454545454546,2.4545454545454546,0.0,0.0,48.376363636363635,4.797272727272727,0.6363636363636364,0.2727272727272727,0.0,0.0,27.272727272727273,1.4754545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.909090909090909,2.1818181818181817,0.0,0.0,53.18181818181818,40.40909090909091,0.0,0.0,0.0,0.0,0.0,0.0,11.454545454545455,0.45454545454545453,0.9090909090909091,0.12363636363636364,12.732727272727272,1.9090909090909092,1.6363636363636365,0.2727272727272727,0.0,0.4390909090909091,3.9990909090909086,1.4545454545454546,0.5454545454545454,0.0,0.13727272727272727,1.513636363636364,0.18181818181818182,0.0,0.0,0.0,0.3472727272727273,10.818181818181818,1.7272727272727273,3.0,4.7272727272727275,0.09090909090909091,0.41181818181818186,22.065454545454546,2.3636363636363638,0.0,1.0,88.54166666666666,35.416666666666664,0.0,14.518626368471569,17-18
140,우리카드,김동훈,S,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.1111111111111111,0.4444444444444444,0.027777777777777776,4.867777777777778,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0,1.0877777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,17-18
